Donna Every,devery,barbados,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
devery,The Price of Freedom,2013,English,CreateSpace Independent Publishing Platform,Scotts Valley,United States,scotts_valley_united states,Fiction,n,352,
devery,What now?,2015,English,CreateSpace Independent Publishing Platform,Scotts Valley,United States,scotts_valley_united states,Fiction,n,348,
devery,The Merger Mogul,2012,English,Donna Every ,NA,Barbados,na_barbados,Fiction,y,286,
devery,Free in the City (The Acreage Series Book 2),2016,English,NA,NA,NA,na_na,Fiction,n,308,
devery,Free at Last (The Acreage Series Book 3),2017,English,NA,NA,NA,na_na,Fiction,y,326,
devery,Vaucluse,2018,English,NA,NA,NA,na_na,Fiction,n,213,
devery,What Do You Have in Your House?,2009,English,Tate Publishing,London,England,london_ldn_england,Fiction,n,84,
devery,Love Wins,2022,English,NA,NA,NA,na_na,Fiction,n,391,
devery,Return to The Acreage (The Acreage Series Book 4),2019,English,Arise Publishing,"Jacksonville, Fl",United States,jackson_united states,Fiction,n,325,
devery,The Promise Keeper,2010,English,Tate Publishing,London,England,london_ldn_england,Fiction,n,80,
devery,The High Road,2013,English,NA,NA,NA,na_na,Fiction,n,294,
devery,Return to The Acreage,2019,English,Independently Published,Chicago, United States,chicago_united states,Fiction,n,324,
devery,Tessa Takes the Challenge (The ABC's of Entrepreneurship Book 1),2015,English,NA,NA,NA,na_na,Fiction,n,135,
devery,Arise and Shine - Journeying into the call and purposes of God,2012,English,Arise Publishing,"Jacksonville, Fl",United States,jackson_united states,Fiction,n,41,
