Earl Lovelace,elovelace,trinidad_&_tobago,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
elovelace,De Dans van de Draak: Roman,1979,Dutch,In de Knipscheer,"Haarlem, NH",Netherlands,haarlem_netherlands,Fiction (Novel),y,284,
elovelace,The Dragon Can't Dance,1979,English,Longman Inc.,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,264,
elovelace,The Wine of Astonishment,1982,English,Andre Deutsch Ltd,London,England,london_ldn_england,Fiction (Novel),n,146,
elovelace,Salt,1996,English,Persea Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,260,
elovelace,Trinidad Noir: The Classics,2017,English,Akashic Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,248,
elovelace,The Dragon Can't Dance,1979,English,Longman Inc.,Harlow,England,harlow_england,Fiction (Novel),n,240,
elovelace,Is Just a Movie,2011,English,Haymarket Books,"Chicago, IL",United States,chicago_il_united¬†states,Fiction (Novel),n,355,
elovelace,Is Just a Movie,2011,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,355,
elovelace,The Wine of Astonishment,1982,English,Heinemann,London,England,london_ldn_england,Fiction (Novel),n,146,
elovelace,Growing in the Dark,2003,English,Lexicon Trinidad,San Juan,Trinidad & Tobago,san_juan_trinidad_&¬†tobago,Nonfiction,n,235,
elovelace,My Name Is Village,2004,English,Alexander Street Press,"Alexandria, VA",United States,alexandria_va_united¬†states,Drama,n,NA,
elovelace,The New Hardware Store,2004,English,Alexander Street Press,"Alexandria, VA",United States,alexandria_va_united¬†states,Drama,n,NA,
elovelace,Jestina's Calypso & Other Plays,1984,English,Heinemann,London,England,london_ldn_england,Drama,n,118,
elovelace,The Dragon Can't Dance,1979,English,Faber and Faber,London,England,london_ldn_england,Fiction (Novel),n,240,
elovelace,The Dragon Can't Dance,1979,English,Persea Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,240,
elovelace,The Dragon Can't Dance,1979,English,George Braziller,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,240,
elovelace,The Dragon Can't Dance,1979,English,Alexander Street Press,"Alexandria, VA",United States,alexandria_va_united¬†states,Fiction (Novel),n,240,
elovelace,The Dragon Can't Dance,1979,English,Crane Library at the University of British Columbia,"Vancouver, BC",Canada,vancouver_bc_canada,Fiction (Novel),n,240,
elovelace,The Schoolmaster,1968,English,Harper Collins,London,England,london_ldn_england,Fiction (Novel),n,224,
elovelace,Crawfie the Crapaud,1997,English,Longman Inc.,Harlow,England,harlow_england,Fiction (Novel),n,30,
elovelace,A Brief Conversion and Other Stories,1988,English,Heinemann,London,England,london_ldn_england,Fiction (Novel),n,141,
elovelace,A Brief Conversion and Other Stories,1990,English,Heinemann,London,England,london_ldn_england,Fiction (Short Story Collection),n,150,
elovelace,A Brief Conversion and Other Stories,2003,English,Persea Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Short Story Collection),n,141,
elovelace,Welcoming Each Other: Cultural Transformation of the Caribbean in the 21st Century : Lecture,1998,English,IDB Cultural Center,"Washington, DC",United States,washington_d.c_united¬†states,Nonfiction,n,NA,
