Edward Kamau Brathwaite,ekbrathwaite,barbados,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
ekbrathwaite,Odale's Choice,2001,English,Evans Brothers,London,England,london_england,Drama,n,32,
ekbrathwaite,"The Development of Creole Society in Jamaica, 1770-1820",2006,English,Ian Randle Publishers,Kingston,Jamaica,kingston_jamaica,Nonfiction,n,373,
ekbrathwaite,Black + Blues,1997,English,New Directions,"New York, NY",United States,new_york_ny_united¬†states,Poetry Collection,n,69,
ekbrathwaite,"Nanny, Sam Sharpe and the Struggle for People's Liberation",1977,English,API for the National Heritage Week,Kingston,Jamaica,kingston_jamaica,Nonfiction,n,64,
ekbrathwaite,Odale's Choice,1971,English,Evans Brothers,London,England,london_england,Drama,n,32,
ekbrathwaite,Islands,1971,English,Oxford University Press,Oxford,England,oxford_england,Poetry Collection,n,113,
ekbrathwaite,Masks,1970,English,Oxford University Press,Oxford,England,oxford_england,Poetry Collection,n,80,
ekbrathwaite,Islands,1969,English,Oxford University Press,Oxford,England,oxford_england,Poetry Collection,n,113,
ekbrathwaite,Masks,1968,English,Oxford University Press,Oxford,England,oxford_england,Poetry Collection,n,80,
ekbrathwaite,The Arrivants: A New World Trilogy,1981,English,Oxford University Press,Oxford,England,oxford_england,Poetry Collection,n,275,
ekbrathwaite,The African Presence in Caribbean Literature,1974,English,The American Academy of Arts and Sciences,Cambridge,England,cambridge_england,Essay,n,37,
ekbrathwaite,"The Love Axe(l) Developing A Caribbean Aesthetic, 1962-1974",1976,English,"Cornell University, Africana Studies and Research Center","Madison, WI",United States,madison_wi_united¬†states,Nonfiction,n,36,
ekbrathwaite,Barbados Poetry 1661-1979: A Checklist,1979,English,Savacou Cooperative,Kingston,Jamaica,kingston_jamaica,Poetry Collection,n,16,
ekbrathwaite,Word Making Man: Poem for Nicolas Guillen in Xaymaca,1979,English,Savacou Cooperative,Kingston,Jamaica,kingston_jamaica,Poem,n,8,
ekbrathwaite,New Poets from Jamaica: An Anthology,1979,English,Savacou Cooperative,Kingston,Jamaica,kingston_jamaica,Poetry Collection,n,134,
ekbrathwaite,Nation Language Poetry (Savacou Working Paper),1982,English,Savacou Cooperative,Kingston,Jamaica,kingston_jamaica,Essay,n,39,
ekbrathwaite,Odale's Choice,1987,English,Evans Brothers,London,England,london_england,Drama,n,32,
ekbrathwaite,La Unidad Submarina: Ensayos Caribeños,2010,Spanish,Katatay,Caracas,Venezuela,caracas_venezuela,Essay,y,207,
ekbrathwaite,Rites of Passage,1967,English,Oxford University Press,Oxford,England,oxford_england,Poetry Collection,n,86,
ekbrathwaite,Odale's Choice,1967,English,Evans Brothers,London,England,london_england,Drama,n,40,
ekbrathwaite,Four Plays for Primary Schools,1964,English,Longman Inc.,London,England,london_england,Fiction (Short Story Collection),n,60,
ekbrathwaite,Folk Culture of the Slaves in Jamaica,1970,English,New Beacon Books,London,England,london_england,Nonfiction,n,32,
ekbrathwaite,The Arrivants: A New World Trilogy,2010,English,Oxford University Press,Oxford,England,oxford_england,Poetry Collection,n,275,
ekbrathwaite,Caribbean Man in Space and Time: A Bibliographical and Conceptual Approach,1974,English,Savacou Cooperative,Mona,Jamaica,mona_jamaica,Nonfiction,n,14,
ekbrathwaite,Dream Stories,1994,English,Longman Inc.,London,England,london_england,Poetry Collection,n,176,
ekbrathwaite,"The Zea Mexican Diary, 7 Sept 1926-7 Sept 1986",1993,English,University of Wisconsin Press,"Madison, WI",United States,madison_wi_united¬†states,Nonfiction,n,214,
ekbrathwaite,History of the Voice: The Development of Nation Language in Anglophone Carribbean Poetry,1984,English,New Beacon Books,London,England,london_england,Nonfiction,n,87,
ekbrathwaite,Roots,1993,English,University of Michigan Press,"Ann Arbor, MI",United States,ann_arbor_mi_united¬†states,Nonfiction,n,304,
ekbrathwaite,The Lazarus Poems,2017,English,Wesleyan University Press,"Middletown, CT",United States,middletown_ct_united¬†states,Poetry Collection,n,117,
ekbrathwaite,Liviticus,2017,English,House of Nehesi,"New York, NY",United States,new_york_ny_united_states,Nonfiction,n,28,
ekbrathwaite,Trench Town Rock,1994,English,Lost Roads Publishers,"Providence, RI",United States,providence_ri_united¬†states,Nonfiction,n,79,
ekbrathwaite,Born To Slow Horses,2005,English,Wesleyan University Press,"Middletown, CT",United States,middletown_ct_united¬†states,Poetry Collection,n,160,
ekbrathwaite,Middle Passages,1994,English,New Directions,"New York, NY",United States,new_york_ny_united_states,Poetry Collection,n,120,
ekbrathwaite,Ancestors,2001,English,New Directions,"New York, NY",United States,new_york_ny_united_states,Poetry Collection,n,544,
ekbrathwaite,Folk Culture of the Slaves in Jamaica,1974,English,New Beacon Books,London,England,london_england,Nonfiction,n,24,
ekbrathwaite,Folk Culture of the Slaves in Jamaica,1981,English,New Beacon Books,London,England,london_england,Nonfiction,n,56,
ekbrathwaite,Contradictory Omens: Cultural Diversity and Integration in the Caribbean,1974,English,Savacou Cooperative,Mona,Jamaica,mona_jamaica,Nonfiction,n,80,
ekbrathwaite,Contradictory Omens: Cultural Diversity and Integration in the Caribbean,1977,English,Savacou Cooperative,Mona,Jamaica,mona_jamaica,Nonfiction,n,80,
ekbrathwaite,"The Development of Creole Society in Jamaica, 1770-1820",1979,English,Clarendon Press,Oxford,England,oxford_england,Nonfiction,n,392,
ekbrathwaite,Soweto,1979,English,Savacou Cooperative,Mona,Jamaica,mona_jamaica,Poem,n,77,
ekbrathwaite,Mother Poem,1979,English,Oxford University Press,London,England,london_england,Poem,n,122,
ekbrathwaite,Days & Nights,1975,English,Caldwell Press,Mona,Jamaica,mona_jamaica,Poetry Collection,n,19,
ekbrathwaite,Masks,1972,English,Oxford University Press,London,England,london_england,Poetry Collection,n,80,
ekbrathwaite,Elegguas,2021,English,Wesleyan University Press,"Middletown, CT",United States,middletown_ct_united¬†states,Poetry Collection,n,123,
ekbrathwaite,Coral,2019,English,The Paris Review,"New York, NY",United States,new_york_ny_united_states,Poem,n,,
ekbrathwaite,Liviticus,2017,English,House of Nehesi,Philipsburg,St. Martin,philipsburg_st.¬†maarten,Poetry Collection,n,40,
ekbrathwaite,Strange Fruit,2016,English,Peepal Tree Press,Leeds,England,leeds_eng_england,Poetry Collection,n,128,
ekbrathwaite,LX: the Love Axe/l: Volume 2: Notes and Commentary,2011,English,Peepal Tree Press,Leeds,England,leeds_eng_england,Nonfiction,n,330,
ekbrathwaite,History of the Voice: The Development of Nation Language in Anglophone Caribbean Poetry,2011,English,New Beacon Books,London,England,london_england,Nonfiction,n,74,
ekbrathwaite,Golokwati: A Tidaltectics History of Our Thymes. Volume 2,2011,English,University of the West Indies Press,Cave Hill,Barbados,cave_hill_barbados,Anthology,n,480,
ekbrathwaite,Black + Blues,2011,English,Proquest LLC,"Ann Arbor, MI",United States,ann_arbor_mi_united¬†states,Poetry Collection,n,70,
ekbrathwaite,History of the Voice: The Development of Nation Language in Anglophone Caribbean Poetry,2005,English,New Beacon Books,London,England,london_england,Nonfiction,n,87,
ekbrathwaite,Ark,2004,English,Savacou Cooperative,Kingston,Jamaica,kingston_jamaica,Poem,n,43,
