Edwidge Danticat,edanticat,haiti,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
edanticat,Livet er en Underlig Gave,1999,Danish,Fremad,Copenhagen,Denmark,copenhagen_denmark,Fiction (Novel),y,270,
edanticat,Land Voor de Levenden,1999,Dutch,Wereldbibliotheek,Amsterdam,Netherlands,amsterdam_netherlands,Fiction (Novel),y,300,
edanticat,The Farming of Bones,1998,English,Penguin Books,London,England,london_ldn_england,Fiction (Novel),n,312,
edanticat,The Dew Breaker,2004,English,Vintage Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,244,
edanticat,Krik? Krak!,1996,English,Vintage Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Short Story Collection),n,224,
edanticat,Krik? Krak!,1996,Dutch,Wereldbibliotheek,Amsterdam,Netherlands,amsterdam_netherlands,Fiction (Short Story Collection),y,155,
edanticat,Krik? Krak!,1996,French,Pygmalion,Paris,France,paris_fr_france,Fiction (Short Story Collection),y,240,
edanticat,Krik? Krak!,1998,French,Pocket Books,Paris,France,paris_fr_france,Fiction (Short Story Collection),y,240,
edanticat,¿Krik? ¡Krak!,1999,Spanish,Lumen,Barcelona,Spain,,Fiction (Short Story Collection),y,223,
edanticat,"Breath, Eyes, Memory",1994,English,Vintage Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,234,
edanticat,Le Cri de L'oiseau Rouge,1997,French,Pocket Books,Paris,France,paris_fr_france,Fiction (Novel),y,282,
edanticat,Le Cri de L'oiseau Rouge,1995,French,Pygmalion,Paris,France,paris_fr_france,Fiction (Novel),y,282,
edanticat,"Adem, Ogen, Herinnering",1995,Dutch,Wereldbibliotheek,Amsterdam,Netherlands,amsterdam_netherlands,Fiction (Novel),y,206,
edanticat,"Adem, Ogen, Herinnering",1998,Dutch,Muntinga,Amsterdam,Netherlands,amsterdam_netherlands,Fiction (Novel),y,249,
edanticat,"Atem, Augen, Erinnerungen",1996,German,Marion von Schröder Verlag,Düsseldorf,Germany,d√ºsseldorf_germany,Fiction (Novel),y,261,
edanticat,"Palabra, Ojos, Memoria",1998,Spanish,Ediciones del Bronce,Barcelona,Spain,,Fiction (Novel),y,225,
edanticat,"Palabra, Ojos, Memoria",1999,Spanish,Círculo de lectores,Barcelona,Spain,,Fiction (Novel),y,205,
edanticat,"Pust, Blikk, Minne",2000,Norwegian,Pax Forlag,Oslo,Norway,oslo_norway,Fiction (Novel),y,176,
edanticat,Everything Inside,2020,English,Vintage Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Short Story Collection),n,240,
edanticat,Claire of the Sea Light,2014,English,Quercus,London,England,london_ldn_england,Fiction (Novel),n,239,
edanticat,Everything Inside,2020,English,Vintage Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Short Story Collection),n,240,
edanticat,Everything Inside,2020,English,Vintage Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Short Story Collection),n,240,
edanticat,The Farming of Bones,2000,English,Abacus,London,England,london_ldn_england,Fiction (Novel),n,320,
edanticat,The Farming of Bones,1999,English,Abacus,London,England,london_ldn_england,Fiction (Novel),n,312,
edanticat,The Farming of Bones,1998,English,Soho Press,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,312,
