Evan Jones,ejones,jamaica,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
ejones,Yn Hogyn Ar Longau Hwyliau,1978,Welsh,Gwasg y Tir,Caernarfon,Wales,caernarvon_wales,Biography,y,112,
ejones,Stone Haven,1998,English,Heinemann,"Portsmouth, NH",United States,portsmouth_nh_united_states,Fiction (Novel),n,248,
ejones,"Understandings, Poems",1968,English,Melbourne University Press,Melbourne,Australia,melbourne_australia,Poetry Collection,n,,
ejones,High Gear,1955,English,Bantam Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Short Story Collection),n,168,
ejones,Left At The Post,1984,English,University of Queensland Press,Brisbane,Australia,brisbane_australia,Poetry Collection,n,36,
ejones,Intimate Voices: The Twentieth-Century String Quartet. Vol. 2,2011,English,University of Rochester Press,"Rochester, NY",United States,rochester_ny_united_states,Nonfiction,n,,
ejones,Alone At Last,2009,English,Picaro Press,"Warners Bay, N.S.W.",Australia,,Poetry Collection,n,72,
ejones,An Eperiential Account of Musical Form In Xenakis's String Quartets,2009,English,Intimate voices,,,,Nonfiction,n,,
ejones,Unmanned Aerial Systems And Military Airships: The Rise Of U.S. Drones And Blimps,2012,English,Nova Science Publ.,"Hauppauge, NY",United States,,Nonfiction,n,201,
ejones,Later Emperors,2020,English,Carcanet Press,Manchester,England,manchester_england,Poetry Collection,n,73,
ejones,Walkable Towns: The Liveable Neighbourhoods Strategy,2003,English,Ashgate Publishing,"Farnham, UK",England,,Nonfiction,n,,
ejones,Exchange Rate Movements And The South African Economy A VAR Analysis,2014,English,Lambert Academic Publishing,Saarbrücken,Germany,saarbrücken_germany,Nonfiction,n,,
ejones,The Question Answered: Who Educates The People?,1847,English,Merlin Office Publishers,Il-Blata l-Bajda,Malta,il_blata_l_bajda_malta,Nonfiction,n,172,
ejones,Citadel In The Wilderness,1966,English,Coward-Mccann,"New York, NY",United States,new_york_ny_united_states,Nonfiction,n,255,
ejones,Seconds Out - Round One: Boxing On Cigarette And Trade Cards,1993,English,Murray Cards,London,England,london__england,Nonfiction,n,162,
ejones,Kenneth Mackenzie,1969,English,Oxford University Press,Oxford,England,oxford_eng_england,Essay,n,48,
ejones,A Thanksgiving: Poems,1996,English,NA,NA,NA,,Poetry Collection,n,46,
ejones,Heavens Above!,2011,English,Picaro Press,"Warners Bay, N.S.W.",Australia,warners_bay_n.s.w.,Poetry Collection,n,48,
ejones,The Politic Body And Other Poems,2009,English,Picaro Press,"Warners Bay, N.S.W.",Australia,warners_bay_n.s.w.,Poetry Collection,n,16,
ejones,Introductions: Poets Present Poets,2001,English,Fitzhenry & Whiteside,"Markham, ON",Canada,markham_ont_canada,Poetry Collection,n,112,
ejones,Nothing Fell Today But Rain: Poems,2003,English,Fitzhenry & Whiteside,"Markham, ON",Canada,markham_ont_canada,Poetry Collection,n,104,
ejones,Anansi Stories,1984,English,Ginn and Company,Aylesbury,England,aylesbury_england,Fiction (Short Story Collection),n,48,
ejones,Stories From History,1984,English,Ginn and Company,Aylesbury,England,aylesbury_england,Fiction (Short Story Collection),n,48,
ejones,Jones Genealogical Pencil Record,1990,English,Genealogical Society of Utah,"Salt Lake City, Utah",United States,salt_lake_city_ut_united_states,Nonfiction,n,,
ejones,Doethineb Llafar. Yn Bennaf Fel Y'i Clybuwyd Yng Nghantref Buallt. O Gasgliad Evan Jones,1925,Welsh,Thomas & Parry,Swansea,Wales,swansea_wales,Biography,y,53,
ejones,High Gear,1963,English,Bantam Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Short Story Collection),n,184,
ejones,Inside The Whale: Poems,1960,English,Frank W. Cheshire,Melbourne,Australia,melbourne_australia,Poetry Collection,n,70,
ejones,Citadel In The Wilderness: The Story Of Fort Snelling And The Old Northwest Frontier,1966,English,Coward-McCann,"New York, NY",United States,new_york_ny_united_states,Nonfiction,n,255,
ejones,The Father: Letters To Sons And Daughters,1960,English,Deutsch,London,England,london__england,Poetry Collection,n,221,
ejones,Epicurean Delight: The Life And Times Of James Beard,1990,English,Alfred A. Knopf,"New York, NY",United States,new_york_ny_united_states,Nonfiction,n,366,
ejones,The World Of Cheese,1976,English,Alfred A. Knopf,"New York, NY",United States,new_york_ny__united_states,Nonfiction,n,298,
ejones,Stone Haven,1998,English,Heinemann,"Portsmouth, NH",United States,portsmouth_nh_united_states,Fiction (Novel),n,256,
ejones,Paralogues,2012,English,Carcanet Press,Manchester,England,manchester_england,Poetry Collection,n,64,
ejones,Recognitions,1978,English,Australian National University Press,Canberra,Australia,canberra_australia,Fiction (Novel),n,72,
ejones,New Canadian Poetry,2000,English,Fitzhenry & Whiteside,"Markham, ON",Canada,markham_on_canada,Poetry Collection,n,90,
ejones,A Food Lover's Companion,1979,English,HarperCollins,"New York, NY",United States,new_york_ny__united_states,Nonfiction,n,389,
ejones,Trappers And Mountain Men,1961,English,American Heritage Pub. Co,"Rockville, MD",United States,,Nonfiction,n,153,
ejones,Tales Of The Caribbean: Witches And Duppies,1984,English,Ginn and Company,Aylesbury,England,aylesbury_england,Fiction (Short Story Collection),n,48,
ejones,American Food: The Gastronomic Story,1975,English,Dutton,"New York, NY",United States,new_york_ny__united_states,Nonfiction,n,387,
ejones,The Minnesota: Forgotten River,1962,English,"Holt, Rinehart and Winston","New York, NY",United States,new_york_ny__united_states,Nonfiction,n,306,
ejones,Selima Hill And Venus Khoury-Ghata,2009,English,Poetry Society,London,England,london__england,Essay,n,,
ejones,Surrealism In Greece And Young Greek Poets,2010,English,"Dept. of English, University of Manchester",Manchester,England,manchester_england,Essay,n,,
ejones,Nikos Stangos And Katerina Anghelaki-Rooke,2009,English,"Dept. of English, University of Manchester",Manchester,England,manchester_england,Essay,n,,
ejones,Monetarism In Practice,1983,English,The Australian Quarterly,Sydney,Australia,sydney_australia,Essay,n,12,
ejones,Kid's Book Of Private Spacecraft,2011,English,Lulu Press,"Morrisville, NC",United States,morrisville_nc_united_states,Fiction (Novel),n,50,
ejones,Principles And Practice Of Tonal Counterpoint,2011,English,Routledge,Oxfordshire,England,oxfordshire_england,Nonfiction,n,,
ejones,Doethineb Llafar,1925,Welsh,"Thomas a Parry, Cyf.",Swansea,Wales,swansea_wales,Poetry Collection,y,,
ejones,Treatment Of Error In Students' Second Language Writing: An Investigation Of Two Online Approaches,2006,English,University of New England,"Biddeford, ME",United States,,Nonfiction,n,23,
ejones,An Examination Of Earnings Differentials In Australian Manufacturing Industry,1978,English,School of Economics University of Sydney,Sydney,Australia,sydney_australia,,n,134,
ejones,Shostakovich To The Avant-Garde,2009,English,University of Rochester Press,"Rochester, NY",United States,rochester_ny_united_states,Nonfiction,n,338,
ejones,Debussy To Villa-Lobos,2009,English,University of Rochester Press,"Rochester, NY",United States,rochester_ny_united_states,Nonfiction,n,295,
ejones,Alonso And The Drug Baron,2005,English,Macmillan Publishers,Oxford,England,oxford_eng_england,Fiction (Novel),n,195,
ejones,Skylarking,1994,English,Longman Inc.,Harlow,England,harlow_england,Fiction (Novel),n,192,
ejones,Understandings: Poems,1967,English,Melbourne University Press ; Cambridge University Press,"Carlton; London; New York, NY",England;United States,,Poetry Collection,n,70,
ejones,"The Bard Or, The Towers Of Morven ; A Legendary Tale",1810,German,Newman,"Red Bank, NJ",United States,red_bank_nj_united_states,Fiction (Novel),y,160,
ejones,Kenneth MacKenzie,1969,Italian,Oxford University Press,Melbourne,Australia,melbourne_australia,Nonfiction,y,48,
ejones,Intimate Voices. The Twentieth-Century String Quartet: Shostakovich To The Avant-Garde Vol. 2,2009,English,University of Rochester Press,"Rochester, NY",United States,rochester_ny_united_states,Nonfiction,n,338,
ejones,The World Of Cheese,1977,English,Alfred A. Knopf,"New York, NY",United States,new_york_ny__united_states,Nonfiction,n,298,
ejones,Aventures Sur La Planète Knos,1998,French,Editions Dapper,Paris,France,paris_fr_france,Fiction (Novel),y,197,
ejones,Cabot And Bristol's Age Of Discovery: The Bristol Discovery Voyages 1480-1508,2016,English,University of Bristol,Bristol,England,bristol_england,Nonfiction,n,100,
ejones,Modern Canadian Poets: An Anthology Of Poems In English,2010,English,Carcanet Press,Manchester,England,manchester_england,Poetry Collection,n,240,
ejones,Dr. Love Jones: Lays Down the Basics,2019,English,Evan Jones,,,,,n,46,
ejones,Fly-Fishing in Patagonia: A Trout Bum's Guide to Argentina,2008,English,Frank Amato Publications,"Milwaukie, OR",United States,muir_of_od_scotland,Nonfiction,n,232,
ejones,"Aural Skills in Context: A Comprehensive Approach to Sight Singing, Ear Training, Keyboard Harmony, and Improvisation",2013,English,Oxford University Press,Melbourne,Australia,melbourne_australia,Nonfiction,n,720,
