Ezequiel Vieta,evieta,cuba,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
evieta,Aquelarre. Short Stories,1954,English,Manigua,Santiago de Cuba,Cuba,santiago_de_cuba_cuba,Fiction (Short Story Collection),n,,
evieta,Y Se Antojan Las Velas : Poesía,1998,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Poetry Collection,n,,
evieta,"Aquelarre, Por Ezequiel Vieta. Portada Y Viñeta De Horacio Maggi",1954,Spanish,Manigua,Santiago de Cuba,Cuba,santiago_de_cuba_cuba,Fiction (Novel),n,,
evieta,Vivir En Candonga,1966,Spanish,Havana Unión Nacional de Escritores y Artistas de Cuba,Havana,Cuba,havana_cuba,Fiction (Novel),n,,
evieta,Vivir En Candonga,1966,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Fiction (Novel),n,,
evieta,Teatro Completo,1995,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Nonfiction,n,,
evieta,"Pailock, El Prestidigitador: La Parte",1966,Spanish,Granma,Havana,Cuba,havana_cuba,Fiction (Novel),n,,
evieta,Cuentos Españoles,1967,Spanish,Instituto Cubano del Libro,Havana,Cuba,havana_cuba,Anthology,n,,
evieta,Baracutey,1984,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,,
evieta,Mi llamada es,1982,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Nonfiction,n,,
evieta,Aquelarre,1954,Spanish,Manigua,Santiago de Cuba,Cuba,santiago_de_cuba_cuba,Fiction (Novel),n,,
evieta,Aquelarre,1954,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Fiction (Novel),n,,
evieta,Libro De Los Epilogos,1963,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,,
evieta,Aquelarre,1954,Spanish,Manigua,Santiago de Cuba,Cuba,santiago_de_cuba_cuba,Fiction (Novel),n,,
evieta,Aquelarre,1954,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Fiction (Novel),n,,
evieta,Aquelarre,1954,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Fiction (Novel),n,,
evieta,Pailock,1991,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Fiction (Novel),n,,
evieta,Cuentos Selectos,2001,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,,
evieta,"Mundo Subterráneo: Puertas Secretas, Ciudades Sumergidas Y Utopías Bajo Tierra",1997,Spanish,Union de Escritores y Artistas de Cuba,Havana,Cuba,havana_cuba,Nonfiction,n,,
