George Lamming,glamming,barbados,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
glamming,The Pleasures Of Exile,1960,English,University of Michigan Press,"Ann Arbor, MI",United States,ann_arbor_mi_united¬†states,Fiction (Novel),n,260,
glamming,Of Age And Danger,1981,English,Allison & Busby,London,England,(london)_england,Fiction (Novel),n,412,
glamming,Season Of Adventure,1960,English,Allison & Busby,London,England,(london)_england,Fiction (Novel),n,336,
glamming,Of Age And Innocence,1958,English,Allison & Busby,London,England,(london)_england,Fiction (Novel),n,412,
glamming,Natives Of My Person,1971,English,"Holt, Rinehart and Winston","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,345,
glamming,Cannon Shot And Glass Beads: Modern Black Writing,1974,English,Pan Books,London,England,(london)_england,Anthology,n,286,
glamming,"Coming, Coming Home: Conversations II: Western Education And The Caribbean Intellectual",1995,English,House of Nehesi Publishers,Philipsburg,St. Maarten,philipsburg_st.¬†maarten,Nonfiction,n,103,
glamming,Sovereignty Of The Imagination: Conversation III,2009,English,House of Nehesi Publishers,Philipsburg,St. Maarten,philipsburg_st.¬†maarten,Nonfiction,n,82,
glamming,Water With Berries,1971,English,"Holt, Rinehart and Winston","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,248,
glamming,En El Castillo De Mi Piel,1953,Spanish,Longman Inc.,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,410,
glamming,A Wedding In Spring,1985,Spanish,Casa de las Américas,Havana,Cuba,havana_cuba,Fiction (Novel),n,15,
glamming,The Role Of Intellectual Workers In Processes Of Social Transformation In Thirld World Countries,1986,English,Organisatie van Patriottische Intellektuelen in Suriname (ORPIS),Paramaribo,Suriname,paramaribo_suriname,Essay,n,31,
glamming,Caribbean Eye. Tape 9,1990,English,Banyan Archive,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&¬†tobago,Nonfiction,n,NA,
glamming,Age Et Innocence,1958,French,Éditions Caribéennes,Paris,France,paris_fr_france,Fiction (Novel),y,461,"Charbonnier, Claire-Lise"
glamming,Partes De Mi Ser,1971,Spanish,Casa de las Américas,Havana,Cuba,havana_cuba,Fiction (Novel),y,518,"Ortega, María Teresa"
glamming,In The Castle Of My Skin,1953,English,"McGraw-Hill Book Company, Inc.","New York, NY",United States,new_york_ny_united_states,Autobiography/ Memoir,n,312,
glamming,The Emigrants First Edition,1954,English,McGraw Hill,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,271,
glamming,The Most Important People,1981,English,Cedar Press,Bridgetown,Barbados,bridgetown_barbados,Nonfiction,n,16,"Drayton, Kathleen"
