Gina Picart,gpicart,cuba,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
gpicart,La Poza Del Angel,1994,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,77,
gpicart,El Druida,2000,Spanish,Ediciones Extramuros,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,111,
gpicart,Malevolgia,2005,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Fiction (Novel),n,115,
gpicart,La Ciudad De Los Muertos,2006,Spanish,Editorial Oriente,Santiago de Cuba,Cuba,santiago_de_cuba_cuba,Nonfiction,n,118,
gpicart,La Poética Del Signo Como Voluntad Y Representación,2006,Spanish,Ediciones Extramuros,Havana,Cuba,havana_cuba,Poetry Collection,n,136,
gpicart,Historias Celtas,2006,Spanish,Ediciones Extramuros,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,114,
gpicart,El Reino De La Noche Cuento,2008,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Fiction (Novel),n,218,
gpicart,Oil on Canvas,2008,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Short Story,n,92,
gpicart,Pasifae,2011,Spanish,Ediciones Extramuros,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,68,
gpicart,La Casa Del Alibi,2011,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Fiction (Novel),n,416,
gpicart,El Reino De La Noche Cuento,2013,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,218,
gpicart,Olio Su Tela,2014,Italian,Nova Delphi,Rome,Italy,rome_italy,Fiction (Short Story Collection),y,128,
gpicart,Havana Como Gemir De Violines,2017,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Nonfiction,n,203,
