Gordon Korman,gkorman,canada,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
gkorman,Swindle,2009,English,Scholastic Press,"New York, NY",United States ,new_york_ny_united_states,Fiction (Novel),n,252,
gkorman,L'escroc,2010,French,Éditions Scholastic,"Toronto,ON",Canada ,toronto_on_canada,Fiction (Novel),y,244,Hélène Pilotto
gkorman,Zoobreak,2009,English,Scholastic Press,"New York, NY",United States ,new_york_ny_united_states,Fiction (Novel),n,230,
gkorman,Son of the mob : Hollywood hustle,2004,English,Hyperion,"New York, NY",United States ,new_york_ny_united_states,Fiction (Novel),n,268,
gkorman,Pop,2009,English,Balzer + Bray,"New York, NY",United States ,new_york_ny_united_states,Fiction (Novel),n,260,
gkorman,One false note,2008,English,Scholastic Press,"New York, NY",United States ,new_york_ny_united_states,Fiction (Novel),n,174,
gkorman,Guan jian yin fu,2010,Chinese ,Huang guan wen hua chu ban you xian gong si,Taibei Shi,Taiwan,taipei_taiwan,Fiction (Novel),y,249,
gkorman,Uma nota desafinada,2010,Portugese ,Edições Gailivro,	Vila Nova de Gaia,Portugal,,Fiction (Novel),y,147,
gkorman,Mozarts Geheimnis,2010,German,Cbj Avanti,München,Germany ,münchen_germany,Fiction (Novel),y,206,
gkorman,La falsa nota,2010,Italian,Edizioni Piemme,	Milano,Italy,milano_italy,Fiction (Novel),y,211,
gkorman,Una nota falsa,2011,Spanish,Ediciones Destino,Barcelona,Spain,,Fiction (Novel),y,172,
gkorman,Fausse note à Venise,2011,French,Éditions Scholastic,"Toronto,ON",Canada ,toronto_on_canada,Fiction (Novel),y,184,Vanessa Rubio; Philippe Masson
gkorman,Schooled,2007,English,Hyperion,"New York, NY",United States ,new_york_ny_united_states,Fiction (Novel),n,208,
gkorman,The emperor's code,2010,English,Scholastic Press,"New York, NY",United States ,new_york_ny_united_states,Fiction (Novel),n,190,
gkorman,Di huang mi ma,2011,Chinese ,Huang guan wen hua chu ban you xian gong si,Taibei Shi,Taiwan,taipei_taiwan,Fiction (Novel),y,251,
gkorman,Entführung am Himalaya ,2011,German,Cbj Avanti,München,Germany ,münchen_germany,Fiction (Novel),y,205,
gkorman,Au sommet de l'Everest,2012,French,Éditions Scholastic,"Toronto,ON",Canada ,toronto_on_canada,Fiction (Novel),y,214,
gkorman,El código del emperador,2012,Spanish,Ediciones Destino,Barcelona,Spain,,Fiction (Novel),y,201,
gkorman,Ungifted,2012,English,Balzer + Bray,"New York, NY",United States ,new_york_ny_united_states,Fiction (Novel),n,280,
gkorman,Un chico de lo más normal,2012,Spanish, B de Blok,Barcelona,Spain,,Fiction (Novel),y,259,
gkorman,No more dead dogs,2000,English,Hyperion,"New York, NY",United States ,new_york_ny_united_states,Fiction (Novel),n,180,
gkorman,The Medusa plot,2011,English,Scholastic Press,"New York, NY",United States ,new_york_ny_united_states,Fiction (Novel),n,222,
gkorman,Framed,2010,English,Scholastic Press,"New York, NY",United States ,new_york_ny_united_states,Fiction (Novel),n,234,
gkorman,Piégé,2011,French,Éditions Scholastic,"Toronto,ON",Canada ,toronto_on_canada,Fiction (Novel),y,242,Hélène Pilotto
gkorman,Masterminds,2014,English,Balzer + Bray,"New York, NY",United States ,new_york_ny_united_states,Fiction (Novel),n,323,
gkorman,The Juvie Three,2003,English,Scholastic Press,"New York, NY",United States ,new_york_ny_united_states,Fiction (Novel),n,249,
gkorman,Restart,2017,English,Scholastic Press,"New York, NY",United States ,new_york_ny_united_states,Fiction (Novel),n,243,
gkorman,Restart : lose your memory : find your life,2018,English,Scholastic Press,"New York, NY",United States ,new_york_ny_united_states,Fiction (Novel),n,243,
gkorman,Repartir,2019,French,Éditions Scholastic,"Toronto,ON",Canada ,toronto_on_canada,Fiction (Novel),y,288,
gkorman,Рестарт,2020,Russian,Rozovyj Zjiraf,Moskva,Russia,moskva_russia,Fiction (Novel),y,290,
gkorman,The hypnotists,2013,English,Scholastic Press,"New York, NY",United States ,new_york_ny_united_states,Fiction (Novel),n,240,
gkorman,Les hypnotiseurs,2014,French,Éditions Scholastic,"Toronto,ON",Canada ,toronto_on_canada,Fiction (Novel),y,240,Isabelle Allard
gkorman,Unteachables,2018,English,Scholastic Canada,Markham,Canada ,markham_canada,Fiction (Novel),n,288,
gkorman,Slacker,2016,English,Scholastic Press,"New York, NY",United States ,new_york_ny_united_states,Fiction (Novel),n,230,
gkorman,Holgazán,2018,Spanish,Scholastic Press,"New York, NY",United States ,new_york_ny_united_states,Fiction (Novel),y,248,Ana Galán
gkorman,Shipwreck,2001,English,Scholastic Press,"New York, NY",United States ,new_york_ny_united_states,Fiction (Novel),n,129,
gkorman,Hideout,2013,English,Scholastic Press,"New York, NY",United States ,new_york_ny_united_states,Fiction (Novel),n,275,
gkorman,Showoff,2012,English,Scholastic Press,"New York, NY",United States ,new_york_ny_united_states,Fiction (Novel),n,248,
