Guillermo Cabrera Infante,gcinfante,cuba,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
gcinfante,La Havane Pour un Infante Defunt,1985,French,Éditions du Seuil,Paris,France,paris_france,Fiction (Novel),y,456,
gcinfante,Infante's Inferno,1985,English,Avon,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,410,
gcinfante,View of Dawn in the Tropics,1981,English,Creative Arts Books Co.,"Berkeley, CA",United States,berkeley_ca_united¬†states,Fiction (Novel),y,145,
gcinfante,Así en la Paz Como en la Guerra,1988,Spanish,Diana Literaria,Mexico City,Mexico,mexico_city_mexico,Fiction (Short Story Collection),n,182,
gcinfante,Exorcismos de Esti(l)o,1982,Spanish,Seix Barral,Barcelona,Spain,barcelona_spain,Fiction (Short Story Collection),n,302,
gcinfante,Arcadia Todas las Noches,1980,Spanish,Seix Barral,Barcelona,Spain,barcelona_spain,Fiction (Novel),n,197,
gcinfante,Puro Humo,1985,Spanish,Penguin Books,Barcelona,Spain,barcelona_spain,Fiction (Novel),n,329,
gcinfante,La Próxima Luna: Historias de Horror,1990,Spanish,Tanagra,Barcelona,Spain,barcelona_spain,Fiction (Short Story Collection),n,207,
gcinfante,Three Trapped Tigers,1985,English,Avon,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,470,
gcinfante,Infante's Inferno,1984,English,Harper & Brothers,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,410,
gcinfante,Holy Smoke,1985,English,Harper & Brothers,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,329,
gcinfante,Vista do Amanhecer no Trópico,1988,Portuguese,Companhia das Letras,São Paulo,Brazil,sao_paulo_brazil,Fiction (Novel),y,171,
gcinfante,Tres Tristes Tigres,1981,Spanish,Seix Barral,Barcelona,Spain,barcelona_spain,Fiction (Novel),n,451,
gcinfante,Arcadia Todas las Noches,1980,Spanish,Seix Barral,Barcelona,Spain,barcelona_spain,Fiction (Novel),n,269,
gcinfante,Así en la Paz Como en la Guerra,1986,Spanish,La Montaña Mágica,Barcelona,Spain,barcelona_spain,Fiction (Short Story Collection),n,329,
gcinfante,Exorcismos de Esti(l)o,1986,Spanish,La Oveja Negra,Bogota,Colombia,bogota_colombia,Fiction (Short Story Collection),n,304,
gcinfante,Havana para un Infante Difunto,1981,Spanish,Seix Barral,Barcelona,Spain,barcelona_spain,Fiction (Novel),n,715,
gcinfante,Un Oficio Del Siglo 20: G. Cain 1954-1961,1982,Spanish,Seix Barral,Barcelona,Spain,barcelona_spain,Autobiography/Memoir,n,539,
gcinfante,Vista del Amanecer en el Trópico,1984,Spanish,Plaza & Janés,Esplugues de Llobregat,Spain,esplugues_de_llobregat_spain,Fiction (Novel),n,235,
gcinfante,Tres Tristes Tigres,1987,Spanish,Diputación Provincial,Málaga,Spain,malaga_spain,Fiction (Novel),n,451,
gcinfante,Havana Para un Infante Difunto,1980,Spanish,Seix Barral,Barcelona,Spain,barcelona_spain,Fiction (Novel),n,711,
gcinfante,La Havane Pour un Infante Défunt,1985,French,Éditions du Seuil,Paris,France,paris_france,Fiction (Novel),y,456,
gcinfante,Orbis Oscillantis,1980,French,Flammarion,Paris,France,paris_france,Fiction (Novel),y,234,
gcinfante,Trois Tristes Tigres,1989,French,Gallimard,Paris,France,paris_france,Fiction (Novel),y,459,
gcinfante,Drei Traurige Tiger Roman,1990,German,Suhrkamp Verlag,Frankfurt,Germany,frankfurt_germany,Fiction (Novel),y,535,
gcinfante,Rauchzeichen,1987,German,Insel Verlag,Frankfurt,Germany,frankfurt_germany,Fiction (Novel),y,413,
gcinfante,Naki Ouji No Tameno Habaana,1983,Japanese,Shueisha,Tokyo,Japan,tokyo_japan,Fiction (Novel),y,589,
gcinfante,Orbis Oscillantis,1992,French,Flammarion,Paris,France,paris_france,Fiction (Novel),y,240,
gcinfante,La Nymphe Inconstante,2021,French,Arthaud,Paris,France,paris_france,Fiction (Novel),y,304,
gcinfante,Three Trapped Tigers,1980,English,Pan Books,London,England,london_england,Fiction (Novel),y,487,
gcinfante,Diablesas y Diosas: 14 Perversas para 14 Autores,1990,Spanish,Editorial Laertes,Barcelona,Spain,barcelona_spain,Nonfiction,y,191,
