Jamaica Kincaid,jkincaid,antigua_&_barbuda,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
jkincaid,Negen Bij Twaalf,1990,Dutch,Agathon Press,Houten,Netherlands,houten_netherlands,Fiction (Novel),y,72,
jkincaid,Op De Bodem Van De Rivier,1986,Dutch,Agathon Press,Houten,Netherlands,houten_netherlands,Fiction (Novel),y,77,
jkincaid,At The Bottom Of The Garden,1983,English,Pan Books,London,England,(london)_england,Fiction (Novel),n,96,
jkincaid,A Small Place,1988,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Biography,n,81,
jkincaid,At The Bottom Of The River,1983,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,96,
jkincaid,Lucy,1990,English,Plume,"New York, NY",United States,new_york_ny_united_states,Fiction (Novella),n,163,
jkincaid,"Annie, Gwen, Lilly, Pam And Tulip",1986,English,Alfred A. Knopf in association with Whitney Museum of American Art,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,16,
jkincaid,See Now Then,2013,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,191,
jkincaid,My Brother,1997,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Nonfiction,n,197,
jkincaid,Among Flowers: A Walk In The Himalaya,2005,English,National Geographic,"Washington, DC",United States,washington_d.c_united¬†states,Nonfiction,n,191,
jkincaid,Mr. Potter,2002,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,213,
jkincaid,The Autobiography Of My Mother,1994,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,228,
jkincaid,Annie John,1982,English,The New Yorker,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,160,
jkincaid,In History,1997,English,The Johns Hopkins University Press,"Baltimore, MD",United States,baltimore_md_united¬†states,Essay,n,7,
jkincaid,Katoava Paratiisi,1986,Finnish,Kirjayhtymä,Hki,Finland,hki_finland,Fiction (Novel),y,133,
jkincaid,Voyons Voir,2016,French,Éditions de l'Olivier,Paris,France,paris_fr_france,Fiction (Novel),y,202,
jkincaid,Autobiographie De Ma Mère,2016,French,Éditions de l'Olivier,Paris,France,paris_fr_france,Fiction (Novel),y,190,
jkincaid,Au Fond De La Rivière,2001,French,Éditions de l'Olivier,Paris,France,paris_fr_france,Fiction (Novel),y,150,
jkincaid,Mon Frère,2000,French,Éditions de l'Olivier,Paris,France,paris_fr_france,Nonfiction,y,192,
jkincaid,Nur Eine Kleine Insel,1990,German,Deutsche Verlags-Anstalt,Stuttgart,Germany,stuggart_germany,Fiction (Novel),y,77,
jkincaid,Am Grunde Des Flusses,1986,German,Stuttgart Deutsche Verlags-Anstalt,Stuttgart,Germany,stuggart_germany,Fiction (Novel),y,95,
jkincaid,Lucy: Roman,2015,German,Unionsverlag,Zürich,Switzerland,zurich_switzerland,Fiction (Novella),y,148,
jkincaid,Mister Potter,2021,German,Kampa Verlag,Zürich,Switzerland,zurich_switzerland,Fiction (Novel),y,136,
jkincaid,In Fondo Al Fiume,2020,Italian,Adelphi Edizioni,Milano,Italy,milano_italy,Fiction (Novel),y,61,
jkincaid,Lucy,2020,Spanish,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,105,
jkincaid,Anna Delle Antille,1987,Italian,De Agostini S.p.A.,Novara,Italy,novara_italy,Fiction (Novel),y,164,
jkincaid,Party: A Mystery,2019,English,Black Sheep Press,"Brooklyn, NY",United States,brooklyn_ny_ny_united_states,Fiction (Novel),n,32,
jkincaid,My Garden Book,1999,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Biography,n,229,
jkincaid,Talk Stories,2000,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Nonfiction,n,247,
jkincaid,At Last : In The Night: Two Short Stories,1990,English,Milkweed Press,"Northampton, MA",United States,northampton_ma_united¬†states,Fiction (Novel),n,14,
jkincaid,På Flodens Botten,1985,Swedish,Stenström,Stockholm,Sweden,stockholm_sweden,Fiction (Novel),y,114,
jkincaid,Antigua & Barbuda: En Liten Ö,1988,Swedish,Stenström,Stockholm,Sweden,stockholm_sweden,Fiction (Novel),y,71,
jkincaid,My Favorite Plant: Writers and Gardeners On The Plants They Love,1998,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Anthology,n,329,
jkincaid,Annie John,1989,German,"Farrar, Straus and Giroux",Stuttgart,Germany,stuggart_germany,Fiction (Novel),y,159,
jkincaid,Lucy,2008,Italian,"Farrar, Straus and Giroux",Milano,Italy,milano_italy,Fiction (Novel),y,163,
