Jamaica Kincaid,jkincaid,antigua_&_barbuda,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,Pub_city,Country,Pub_id,Genre,Translation,Length,Descriptor
jkincaid,Negen Bij Twaalf,1990,Dutch,Agathon Press,Houten,Netherlands,houten_netherlands,Fiction (Novel),y,72,
jkincaid,Op De Bodem Van De Rivier,1986,Dutch,Agathon Press,Houten,Netherlands,houten_netherlands,Fiction (Novel),y,77,
jkincaid,Lucy,2007,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novella),n,163,
jkincaid,A Small Place,2000,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Biography,n,81,
jkincaid,Annie John,1986,English,New American Library,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,160,
jkincaid,Among Flowers,2020,English,Picador Paper,"New York, NY",United States,new_york_ny_united_states,Nonfiction Book,n,224,
jkincaid,Annie John,1997,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,160,
jkincaid,See Now Then: A Novel,2014,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,182,
jkincaid,At The Bottom Of The Garden,1984,English,Pan Books,London,England,(london)_england,Fiction (Novel),n,96,
jkincaid,A Small Place,1989,English,Penguin Books,"New York, NY",United States,new_york_ny_united_states,Biography,n,81,
jkincaid,A Small Place,1988,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Biography,n,81,
jkincaid,At The Bottom Of The River,1985,English,Vintage Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,96,
jkincaid,At The Bottom Of The River,1983,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,96,
jkincaid,Annie John,1985,English,Noonday Press,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,160,
jkincaid,Annie John,1984,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,160,
jkincaid,Lucy,1990,English,Plume,"New York, NY",United States,new_york_ny_united_states,Fiction (Novella),n,163,
jkincaid,"Annie, Gwen, Lilly, Pam And Tulip",1986,English,Alfred A. Knopf in association with Whitney Museum of American Art,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,16,
jkincaid,See Now Then,2013,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,191,
jkincaid,A Small Place,2000,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Biography,n,98,
jkincaid,My Brother,1997,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,197,
jkincaid,My Brother,1998,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,208,
jkincaid,Among Flowers: A Walk In The Himalaya,2005,English,National Geographic,"Washington, DC",United States,washington_d.c_united¬†states,Nonfiction Book,n,191,
jkincaid,Among Flowers: A Walk In The Himalaya,2020,English,Picador,London,England,(london)_england,Nonfiction Book,n,140,
jkincaid,Mr. Potter,2003,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,213,
jkincaid,Mr. Potter,2003,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,144,
jkincaid,At the Bottom Of The River,2000,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,100,
jkincaid,Annie John,1997,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,162,
jkincaid,The Autobiography Of My Mother,1996,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,228,
jkincaid,Lucy,2002,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novella),n,163,
jkincaid,At The Bottom Of The River,1984,English,Pan Books,London,England,(london)_england,Fiction (Novel),n,96,
jkincaid,Annie John,1982,English,The New Yorker,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,160,
jkincaid,In History,1997,English,The Johns Hopkins University Press,"Baltimore, MD",United States,baltimore_md_united¬†states,Essay,n,7,
jkincaid,Katoava Paratiisi,1986,Finnish,Kirjayhtymä,Hki,Finland,hki_finland,Fiction (Novel),y,133,
jkincaid,Voyons Voir,2016,French,Éditions de l'Olivier,Paris,France,paris_fr_france,Fiction (Novel),y,202,
jkincaid,Voyons Voir,2016,French,Éditions de l'Olivier,Paris,France,paris_fr_france,Fiction (Novel),y,202,
jkincaid,Autobiographie De Ma Mère,2016,French,Éditions de l'Olivier,Paris,France,paris_fr_france,Fiction (Novel),y,190,
jkincaid,Autobiographie De Ma Mère,2016,French,Éditions de l'Olivier,Paris,France,paris_fr_france,Fiction (Novel),y,190,
jkincaid,Au Fond De La Rivière,2001,French,Éditions de l'Olivier,Paris,France,paris_fr_france,Fiction (Novel),y,150,
jkincaid,Mon Frère,2001,French,Seuil,Paris,France,paris_fr_france,Fiction (Novel),y,192,
jkincaid,Mon Frère,2000,French,Éditions de l'Olivier,Paris,France,paris_fr_france,Fiction (Novel),y,192,
jkincaid,Nur Eine Kleine Insel,1990,German,Deutsche Verlags-Anstalt,Stuttgart,Germany,stuttgart_germany,Fiction (Novel),y,77,
jkincaid,Am Grunde Des Flusses,1986,German,Stuttgart Deutsche Verlags-Anstalt,Stuttgart,Germany,stuttgart_germany,Fiction (Novel),y,95,
jkincaid,Lucy,2014,German,Unionsverlag,Zürich,Switzerland,zurich_switzerland,Fiction (Novella),y,134,
jkincaid,Lucy,1991,German,Wolfgang Krüger Verlag,Frankfurt,Germany,frankfurt_germany,Fiction (Novella),y,163,
jkincaid,Lucy: Roman,2015,German,Unionsverlag,Zürich,Germany,zurich_switzerland,Fiction (Novella),y,148,
jkincaid,Annie John,2022,German,Kampa Verlag,Zürich,Switzerland,zurich_switzerland,Fiction (Novel),y,224,
jkincaid,Mister Potter,2021,German,Kampa Verlag,Zürich,Switzerland,zurich_switzerland,Fiction (Novel),y,136,
jkincaid,Lucy,2016,Italian,Adelphi Edizioni,Milan,Italy,milan_italy,Fiction (Novella),y,110,
jkincaid,In Fondo Al Fiume,2020,Italian,Adelphi Edizioni,Milan,Italy,milan_italy,Fiction (Novel),y,61,
jkincaid,Lucy,2020,Spanish,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novella),y,105,
jkincaid,Anna Delle Antille,1987,Italian,De Agostini S.p.A.,Novara,Italy,novara_italy,Fiction (Novel),y,164,
jkincaid,Party: A Mystery,2019,English,Black Sheep Press,"Brooklyn, NY",United States,brooklyn_ny_ny_united_states,Fiction (Novel),n,32,
jkincaid,Party: A Mystery,2019,English,Black Sheep Press,"Brooklyn, NY",United States,brooklyn_ny_ny_united_states,Fiction (Novel),n,32,
jkincaid,"Annie, Gwen, Lilly, Pam And Tulip",1998,English,Parkett Verlag AG,Zürich,Switzerland,zurich_switzerland,Fiction (Novel),n,26,
jkincaid,"Annie, Gwen, Lilly, Pam And Tulip",1989,English,Parkett Verlag AG,Zürich,Switzerland,zurich_switzerland,Fiction (Novel),n,26,
jkincaid,My Garden Book,1999,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Biography,n,229,
jkincaid,Talk Stories,2002,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Biography,n,273,
jkincaid,Talk Stories,2001,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Biography,n,247,
jkincaid,At Last : In The Night: Two Short Stories,1990,English,Milkweed Press,"Northampton, MA",United States,northampton_ma_united¬†states,Fiction (Novella),n,14,
jkincaid,Am Grunde Des Flusses: Erzählungen,1989,German,Fischer Taschenbuch,Frankfurt,Germany,frankfurt_ge_germany,Fiction (Novel),y,94,
jkincaid,På Flodens Botten,1985,Swedish,Stenström,Stockholm,Sweden,stockholm_sweden,Fiction (Novel),y,114,
jkincaid,Antigua & Barbuda: En Liten Ö,1988,Swedish,Stenström,Stockholm,Sweden,stockholm_sweden,Fiction (Novel),y,71,
jkincaid,My Favorite Plant: Writers and Gardeners On The Plants They Love,1998,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Biography,n,329,
jkincaid,See Now Then: A Novel,2013,English,Macmillan Publishers,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,223,
jkincaid,"Annie, Gwen, Lilly, Pam, And Tulip",1989,English,Alfred A. Knopf,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,26,
jkincaid,Among Flowers: A Walk In The Himalaya,2005,English,National Geographic,"Washington, D.C",United States,washington_d.c_united¬†states,Nonfiction Book,n,191,
jkincaid,Mr. Potter,2017,English,"Blackstone Audio, Inc.","Ashland, OR",United States,ashland_or_united¬†states,Fiction (Novel),n,195,
jkincaid,At The Bottom Of The River,2017,English,"Blackstone Audio, Inc.","Ashland, OR",United States,ashland_or_united¬†states,Fiction (Novel),n,96,
jkincaid,Annie John,2016,English,"Blackstone Audio, Inc.","Ashland, OR",United States,ashland_or_united¬†states,Fiction (Novel),n,160,
jkincaid,The Autobiography Of My Mother,2016,English,"Blackstone Audio, Inc.","Ashland, OR",United States,ashland_or_united¬†states,Fiction (Novel),n,228,
jkincaid,Lucy,2017,English,"Blackstone Audio, Inc.","Ashland, OR",United States,ashland_or_united¬†states,Fiction (Novella),y,163,
jkincaid,Annie John,1992,German,"Farrar, Straus and Giroux",München,Germany,munchen_germany,Fiction (Novel),y,159,
jkincaid,Annie John,1989,German,"Farrar, Straus and Giroux",Stuttgart,Germany,stuttgart_germany,Fiction (Novel),y,159,
jkincaid,Lucy,2008,Italian,"Farrar, Straus and Giroux",Milano,Italy,milano_italy,Fiction (Novella),y,163,
