Julia Alvarez,jalvarez,united_states,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
jalvarez,In the Time Of The Butterflies,1994,English,Algonquin Books,Chapel Hill,United States,chapel_hill_nc_united¬†states,Fiction (Novel),n,336,
jalvarez,How the García Girls Lost Their Accents,1991,English,Plume,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,290,
jalvarez,In The Name Of Salome,2000,English,Algonquin Books of Chapel Hill,"Chapel Hill, NC",United States,chapel_hill_nc_united¬†states,Fiction (Novel),n,320,
jalvarez,¡Yo!,1997,English,Algonquin Books,"Chapel Hill, NC",United States,chapel_hill_nc_united¬†states,Fiction (Novel),n,320,
jalvarez,Afterlife,2020,English,Algonquin Books,"Chapel Hill, NC",United States,chapel_hill_nc_united¬†states,Fiction (Novel),n,269,
jalvarez,How Tia Lola Came To (Visit) Stay,2001,English,Zaner-Bloser,"Columbus, OH",United States,columbus_oh_united¬†states,Fiction (Novel),n,147,
jalvarez,Something To Declare: Essays,1998,English,Algonquin Of Chapel Hill,"Chapel Hill, NC",United States,chapel_hill_nc_united¬†states,Autobiography/Memoir,n,300,
jalvarez,Return To Sender,2009,English,Knopf Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,339,
jalvarez,En El Tiempo De Las Mariposas: In The Time Of The Butterflies,2002,Spanish,Recorded Books,"Prince Frederick, MD",United States,prince_frederick_md_united¬†states,Fiction (Novel),n,304,
jalvarez,Once Upon A Quinceanera: Coming Of Age In The USA,2007,English,Plume,"New York, NY",United States,new_york_ny_united_states,Nonfiction Book,n,275,
jalvarez,Finding Miracles,2004,English,Laurel Leaf,Philippines,Asia,philippines_asia,Fiction (Novel),n,287,
jalvarez,Tía Lola stories,2010,English,Yearling,"New York, NY",United States,new_york_ny_united_states,Fiction (Short Story Collection),n,134,Michelle González; Listening Library
jalvarez,A Cafecito Story,2001,English,Chelsea Green Publishing Company,"Chelsea, VT",United States,chelsea_vt_united¬†states,Fiction (Novel),n,69,"Cocco-DeFilippis, Daisy; Ramírez, Belkis; Eichner, Bill"
jalvarez,Im Namen Der Salomé Roman,2017,German,Piper Verlag GmbH,Munich,Germany,munich_germany,Fiction (Novel),y,423,"Enzenberg, Carina von; Piper Verlag"
jalvarez,Die Zeit der Schmetterlinge Roman,1994,German,Piper Edition,Munich,Germany,munich_germany,Fiction (Novel),y,460,"Enzenberg, Carina von; Zahn, Hartmut; Piper Verlag"
jalvarez,In De Tijd Van De Vlinders,1994,Dutch,Poema Pocket,Amsterdam,Netherlands,amsterdam_netherlands,Fiction (Novel),y,365,"Falger, Lon"
jalvarez,Seven Trees,1998,English,Kat Ran Press,"North Andover, MA",United States,north_andover_ma_united¬†states,Poetry Collection,n,25,Kat Ran Press
jalvarez,Old Age Ain't For Sissies,1979,English,Crane's Creek Press,"Cameron, NC",United States,cameron_nc_united¬†states,Anthology,n,72,"Oldham, Pamolu"
jalvarez,En Busca De Milagros,2004,Spanish,Laurel Leaf,Philippines,Asia,philippines_asia,Fiction (Novel),n,224,"OverDrive, Inc"
jalvarez,Homecoming: New And Collected Poems,1984,English,Grove/Atlantic,"New York, NY",United States,new_york_ny_united_states,Poetry Collection,n,120,"Pack, Robert"
jalvarez,Yolanda: Roman,2017,German,Piper Verlag GmbH,Munich,Germany,munich_germany,Fiction (Novel),y,357,"Rumler, Irene; Piper Verlag"
jalvarez,Antes De Ser Libre,2002,Spanish,Ember,"Nueva York, NY",United States,nueva_york_ny_united¬†states,Fiction (Novel),n,184,"Valenzuela, Liliana; Juan, Ana"
