Kendel Hippolyte,khippolyte,st._lucia,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
khippolyte,Island In The Sun-Side 2,1980,English,University of the West Indies Etra Mural Department,The Morne,St.Lucia,the_morne_st. lucia,Poetry Collection,n,50,
khippolyte,The Labyrinth,1993,English,The Source,"New York, NY",United States,new_york_ny_united states,Poetry Collection,n,NA,
khippolyte,Bearings,1986,English,Hippolyte,Castries,St.Lucia,castries_st. lucia,Poetry Collection,n,NA,
khippolyte,Avocado,2018,English,Griffith Review,Melbourne,Australia,melbourne_australia,Poem,n,NA,
khippolyte,Three Sonnets For Mister Kent,1994,English,The Massachusetts Review,"Amherst, MA",United States,amherst_ma_united states,Poetry Collection,n,3,
khippolyte,Going,2005,English,Project Muse,"Baltimore, MD",United States,baltimore_md_united states,Poetry Collection,n,NA,
khippolyte,Castries,1994,English,The Massachusetts Review,"Amherst, MA",United States,amherst_united states,Poetry Collection,n,NA,
khippolyte,Fault Lines,2012,English,Peepal Tree Press,"Leeds, LDN",England,leeds_ldn_england,Poetry Collection,n,78,
khippolyte,Sent Lisi: Poems And Art Of Saint Lucia,2014,English,Cultural Development Foundation,Castries,St.Lucia,castries_st. lucia,Anthology,n,NA,
khippolyte,Confluence: Nine St. Lucian Poets,1988,English,The Source,Castries,St.Lucia,castries_st. lucia,Anthology,n,64,
khippolyte,Wordplanting,2019,English,Peepal Tree Press,"Leeds, LDN",England,leeds_ldn_england,Poetry Collection,n,56,
khippolyte,Birthright,1997,English,Hippolyte,Castries,St.Lucia,castries_st. lucia,Poetry Collection,n,120,
khippolyte,Night Vision,2005,English,Northwestern University Press,"Evanston, IL",United States,evanston_il_united states,Poetry Collection,n,80,
khippolyte,Pulse: A Collection Of Essays By St. Lucian Writers,1980,English,The Source,Castries,St.Lucia,castries_st. lucia,Poetry Collection,n,43,
