Kwame Senu Neville Dawes,ksndawes,jamaica,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
ksndawes,Progeny of Air,1994,English,Peepal Tree Press,Leeds,England,leeds_england,Poetry Collection,n,115,
ksndawes,A Far Cry From Plymouth Rock: A Personal Narrative,2007,English,Peepal Tree Press,Leeds,England,leeds_england,Autobiography/Memoir,n,160,
ksndawes,She's Gone,2013,English,Akashic Books,"Brooklyn, NY",United States,brooklyn_ny_ny_united_states,Fiction (Novel),n,310,
ksndawes,Bob Marley: Lyrical Genius,2012,English,Sanctuary Publishing,London,England,london_ldn_england,Nonfiction Book,n,368,
ksndawes,Bivouac,2019,English,Akashic Books,"Brooklyn, NY",United States,brooklyn_ny_ny_united_states,Fiction (Novel),n,206,
ksndawes,Resisting The Anomie,1995,English,Goose Lane,"Fredericton, NB",Canada,freeport_n.y_united_states,Poetry Collection,n,112,
ksndawes,A Place To Hide,2003,English,Peepal Tree Press,Leeds,England,leeds_england,Fiction (Short Story Collection),n,268,
ksndawes,Hope's Hospice: And Other Poems,2009,English,Peepal Tree Press,Leeds,England,leeds_england,Poetry Collection,n,72,
ksndawes,Back Of Mount Peace,2010,English,Peepal Tree Press,Leeds,England,leeds_england,Poetry Collection,n,96,
ksndawes,Wheels,2011,English,Peepal Tree Press,Leeds,England,leeds_england,Poetry Collection,n,120,
ksndawes,Home Is Where: An Anthology Of African American Poetry From The Carolinas,2011,English,Hub City Press,"Spartanburg, SC",United States,spartanburg_sc_united_states,Anthology,n,216,
ksndawes,The Last Enchantment,2009,English,Peepal Tree Press,Leeds,England,leeds_england,Fiction (Novel),n,448,
ksndawes,Prophets,2018,English,Peepal Tree Press,Leeds,England,leeds_england,Poetry Collection,n,159,
ksndawes,Jacko Jacobus,1996,English,Peepal Tree Press,Leeds,England,leeds_england,Poetry Collection,n,159,
ksndawes,City Of Bones: A Testament,2017,English,Triquarterly Books/ Northwestern University Press,"Evanston, IL",United States,evanston_il_united¬†states,Poetry Collection,n,232,
ksndawes,Fugue And Other Writings,2012,English,Peepal Tree Press,Leeds,England,leeds_england,Poetry Collection,n,372,
ksndawes,Requiem,1996,English,Peepal Tree Press,Leeds,England,leeds_england,Poetry Collection,n,48,
ksndawes,Wisteria: Poems From The Swamp Country,2005,English,Red Hen Press,"Los Angeles, CA",United States,los_angeles_ca_united¬†states,Poetry Collection,n,96,
ksndawes,City of Bones,2018,English,Peepal Tree Press,Leeds,England,leeds_england,Poetry Collection,n,485,
ksndawes,I Saw Your Face,2005,English,Dial Books,"New York, NY",United States,new_york_ny_united_states,Poetry Collection,n,32,
ksndawes,Speak From Here To There,2016,English,Peepal Tree Press,Leeds,England,leeds_england,Poetry Collection,n,132,
ksndawes,A New Beginning,2018,English,Peepal Tree Press,Leeds,England,leeds_england,Poetry Collection,n,128,
ksndawes,In The Name Of Our Families,2020,English,Peepal Tree Press,Leeds,England,leeds_england,Poetry Collection,n,240,
ksndawes,Duppy Conqueror: New And Selected Poems,2013,English,Copper Canyon Press,"Port Townsend, WA",United States,port_townsend_wa_united_states,Poetry Collection,n,338,
