Leonardo Padura Fuentes,lpfuentes,cuba,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
lpfuentes,Les Brumes Du Passé,2014,French,Editions Métailié,Paris,France,paris_france,Fiction (Novel),y,351,"Zayas, Elena"
lpfuentes,Água Por Todos Os Lados,2020,Portuguese,Boitempo Editorial,São Paulo,Brazil,são_paulo_brazil,Fiction (Novel),y,292,"Stahel, Monica"
lpfuentes,Le Palmier Et L'étoile,2014,French,Editions Métailié,Paris,France,paris_france,Fiction (Novel),y,389,"Zayas, Elena"
lpfuentes,La Transparencia Del Tiempo,2018,Spanish,Planeta Publishing,Barcelona,Spain,barcelona_spain,Fiction (Novel),n,448,
lpfuentes,Addio Hemingway,2001,Italian,Tropea,Milan,Italy,milan_italy,Fiction (Novel),y,189,"Bovaia, Roberta"
lpfuentes,Mascaras,1997,Spanish,Tusquets Editores S.A.,Barcelona,Spain,barcelona_spain,Fiction (Novel),n,351,
lpfuentes,El Submarino Amarillo: Cuento Cubano 1966-1991 : Breve Antologia,1997,Spanish,Universidad Nacional Autónoma de México,México City,Mexico,mexico_city_mexico,Anthology,n,347,
lpfuentes,Pasado Perfecto,1991,Spanish,Tusquets Editores S.A.,Barcelona,Spain,barcelona_spain,Fiction (Novel),n,232,
lpfuentes,Un Camino De Medio Siglo: Alejo Carpentier Y La Narrativa De Lo Real Maravilloso,2002,Spanish,Fondo de Cultura Económica,México City,Mexico,mexico_city_mexico,Nonfiction,n,515,
lpfuentes,El Hombre Que Amaba A Los Perros,2009,Spanish,Tusquets Editores S.A.,Barcelona,Spain,barcelona_spain,Fiction (Novel),n,573,
lpfuentes,Ein Perfektes Leben,2003,German,Unionsverlag,Zürich,Switzerland,zurich_switzerland,Fiction (Novel),y,286,"Hartstein,Hans-Joachim"
lpfuentes,Passé Parfait : Roman,2008,French,Points,Paris,France,paris_fr_france,Fiction (Novel),y,276,"Lepage, Caroline"
lpfuentes,Passato Remoto,2004,Italian,Net,Milan,Italy,milan_italy,Fiction (Novel),y,216,"Bovaia, Roberta"
lpfuentes,Adios Hemingway,2004,French,Editions Métailié,Paris,France,paris_fr_france,Fiction (Novel),y,190,"Solis, René"
lpfuentes,Le Almier Et L 'Étoile,2002,French,Editions Métailié,Paris,France,paris_fr_france,Fiction (Novel),y,387,NA
lpfuentes,La Novela De Mi Vida,2001,Spanish,Casa de Teatro,Santo Domingo,Dominican Republic,santo_domingo_dominican_republic,Fiction (Novel),n,345,
lpfuentes,Havana Gold: The Havana Quartet,2008,English,Bitter Lemon Press,London,England,(london)_england,Fiction (Novel),y,288,"Bush, Peter"
lpfuentes,Havana Fever,2009,English,Bitter Lemon Press,London,England,(london)_england,Fiction (Novel),y,285,"Bush, Peter"
lpfuentes,Havana Black: A Lieutenant Mario Conde Mystery,2006,English,Bitter Lemon Press,London,England,(london)_england,Fiction (Novel),y,261,"Bush, Peter"
lpfuentes,Havana Red,2005,English,Bitter Lemon Press,London,England,(london)_england,Fiction (Novel),y,258,"Bush, Peter"
lpfuentes,Heretics,2017,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,544,"Kushner, Anna"
lpfuentes,The Transparency of Time,2021,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,416,"Kushner, Anna"
lpfuentes,The Man Who Loved Dogs,2014,English,"Farrar, Straus and Giroux","New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,592,"Kushner, Anna"
lpfuentes,Electre À La Havane,1999,French,Éditions Métailié,Paris,France,paris_fr_france,Fiction (Novel),y,592,"Hernandez, Mara; Solis, René"
lpfuentes,L'Automne À Cuba : Roman,1999,French,Éditions Métailié,Paris,France,paris_fr_france,Fiction (Novel),y,592,"Hernandez, Mara; Solis, René"
