Martin Carter,mcarter,guyana,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
mcarter,The Hill of Fire Glows Red,1951,English,Miniature Poets,Georgetown,Guyana,georgetown_guyana,Poems,n,14,
mcarter,The Kind Eagle,1952,English,Independently Published,Georgetown,Guyana,georgetown_guyana,Poems,n,4,
mcarter,The Hidden Man,1952,English,Independently Published,Georgetown,Guyana,georgetown_guyana,Poems,n,,
mcarter,Poems of Resistance from British Guiana,1954,English,Lawrence and Wishart,London,England,(london)_england,Poetry Collecttion,n,,
mcarter,Poems of Shape and Motion,1955,English,Independently Published,Georgetown,Guyana,georgetown_guyana,Poems,n,,
mcarter,Jail Me Quickly,1963,English,Independently Published,Georgetown,Guyana,georgetown_guyana,Poetry Collecttion,n,,
mcarter,Poems of Succession,1977,English,New Beacon Books,London,England,(london)_england,Poems,n,119,
mcarter,Poems of Affinity,1980,English,Release Publishers,Georgetown,Guyana,georgetown_guyana,Poems,n,84,
mcarter,Selected Poems,1989,English,Red Thread Women's Press,Georgetown,Guyana,georgetown_guyana,Poetry Collection,n,153,
mcarter,University of Hunger: Collected Poems and Selected Prose.,2006,English,Bloodaxe Books,Hexham,England,hexham_england,Poetry Collection,n,320,
