Maryse Condé,mconde,guadeloupe,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
mconde,Hérémakhonon,1976,French,Seghers,Paris,France,paris_france,Fiction (Novel),y,243,
mconde,Heremakhonon,1976,English,Lynne Rienner Publishers,"Boulder, CO",United States,boulder_co_united¬†states,Fiction (Novel),y,168,
mconde,La civilisation du bossale: Reflexions sur la littérature orale de la Guadeloupe et de la Martinique,1978,French,L'Harmattan,Paris,France,paris_fr_france,Fiction (Novel),y,70,
mconde,"Cahier D'un Retour au Pays Natal, Césaire: Analyse Critique",1978,French,Hatier,Paris,France,paris_fr_france,Nonfiction,y,79,
mconde,La Parole des Femmes: Essai sur des Romancières des Antilles de Langue Française,1979,French,L'Harmattan,Paris,France,paris_fr_france,Nonfiction,y,136,
mconde,A Season in Rihata,1981,English,Heinemann,Oxford,England,oxfordshire_england,Fiction (Novel),y,192,
mconde,Une Saison à Rihata,1981,French,Éditions Robert Laffont,Paris,France,paris_fr_france,Fiction (Novel),y,214,
mconde,Rihata,1981,Finnish,Art House,Helsingissä Hki,Finland,helsingissaãà_hki_finland,Fiction (Novel),y,230,
mconde,De Open Plek Over Franstalige Literatuur uit de Antillen,1984,Dutch,In de Knipscheer,Haarlem,Netherlands,"Haarlem, Netherlands",Nonfiction,y,158,
mconde,De Aarden Wallen,1984,Dutch,In de Knipscheer,Haarlem,Netherlands,"Haarlem, Netherlands",Fiction (Novel),y,654,
mconde,Segu,1984,English,Ballantine Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,493,
mconde,Les Murailles de Terre,1984,French,France Loisirs,Paris,France,paris_fr_france,Fiction (Novel),y,487,
mconde,Segu die Mauern aus Lehm,1984,German,Kiepenheuer und Witsch,Köln,Germany,k√∂ln_germany,Fiction (Novel),y,692,
mconde,Le Muraglie di Terra,1984,Italian,Lavoro,Roma,Italy,roma_italy,Fiction (Novel),y,573,
mconde,Segu Murer av Leire,1984,Norwegian,Tiden,Oslo,Norway,oslo_norway,Fiction (Novel),y,539,
mconde,Segu: Zidovje Iz Blata : Roman,1984,Slovenian,Pomurska zalozba,Murska Sobota,Slovenia,murska_sobota_slovenia,Fiction (Novel),y,638,
mconde,The Children of Segu,1985,English,Ballantine Books,"New York, NY",United States,new_york_ny_united¬†states,Fiction (Novel),y,462,
mconde,Pays Mele: Suivi de Nanna-ya,1985,French,Hatier,Paris,France,paris_fr_france,Fiction (Novel),y,123,
mconde,De Verkruimelde Aarde,1985,Dutch,Muntinga,Amsterdam,Netherlands,"Amsterdam, Netherlands",Fiction (Novel),y,550,
mconde,Ségou: la Terre en Miettes,1985,French,Éditions Robert Laffont,Paris,France,paris_fr_france,Fiction (Novel),y,601,
mconde,La Terre en Miettes,1985,French,France Loisirs,Paris,France,paris_fr_france,Fiction (Novel),y,426,
mconde,Tituba de Zwarte Heks van Salem,1986,Dutch,In de Knipscheer,Amsterdam,Netherlands,"Amsterdam, Netherlands",Fiction (Novel),y,246,
mconde,"Moi, Tituba, Sorcière Noire de Salem",1986,French,Mercure de France,Paris,France,paris_fr_france,Fiction (Novel),y,277,
mconde,La Bruja de Salem,1986,Spanish,Ediciones B,Barcelona,Spain,bacrcelona_spain,Fiction (Novel),y,199,
mconde,"Ich, Tituba, die Schwarze Hexe von Salem Roman",1986,German,München Knaur,München,Germany,munchen_germany,Fiction (Novel),y,283,
mconde,La Vie Scélérate. Roman,1987,French,Seghers,Paris,France,paris_fr_france,Fiction (Novel),y,333,
mconde,Pension Les Alizés: Pièce En Cinq Tableaux,1988,French,Mercure de France,Paris,France,paris_fr_france,Drama,y,144,
mconde,Crossing the Mangrove,1989,English,Penguin Books,London,England,(london)_england,Fiction (Novel),y,192,
mconde,Traversee de la Mangrove,1989,French,Mercure de France,Paris,France,paris_fr_france,Fiction (Novel),y,272,
mconde,Bouquet de Voix Pour Guy Tirolien,1990,French,Editions Jasor,Pointe-À-Pitre,Guadeloupe,pointe_√ä_pitre_guadeloupe,Nonfiction,y,222,
mconde,Windward Heights,1995,English,Soho Press,Manhattan,United States,manhattan_ny_united_states,Fiction (Novel),y,384,
mconde,The Belle Créole,2001,English,University of Virginia Press,"Charlottesville, VA",United States,charlottesville_va_united¬†states,Fiction (Novel),y,212,
mconde,Waiting for the Waters to Rise,2010,English,World Editions,"New York, NY",United States,new_york_ny_united¬†states,Fiction (Novel),y,282,
mconde,The Wondrous and Tragic Life of Ivan and Ivana,2017,English,World Editions,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),y,266,
mconde,Tod auf Guadeloupe,NA,German,Neues Leben,Berlin Verl,Germany,berlin_verl_germany,Fiction (Novel),y,31,
mconde,Carta al Ciudadano 6.000 Millones,NA,Spanish,Ediciones B,Barcelona,Spain,bacrcelona_spain,Nonfiction,y,140,
mconde,Guadeloupe,NA,French,Richer Publishing Ltd,Paris,France,paris_fr_france,Fiction (Novel),y,126,
mconde,We Are Your Sisters: Black Women in the Nineteenth Century,NA,English,W. W. Norton,"New York, NY",United States,new_york_ny_united_states,Nonfiction,y,535,
mconde,Women in Nigeria Today,NA,English,Zed Books,London,England,london_ldn_england,Nonfiction,y,257,
mconde,Haïti Chérie,NA,French,Gyldendal,Oslo,Norway,oslo_norway,Fiction (Novel),y,69,
mconde,Victor et les Barricades,NA,French,Bayard Presse,Paris,France,paris_fr_france,Fiction (Novel),y,107,
