Maude Heurtelou,mheurtelou,haiti,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
mheurtelou,Sezisman: Pou Lafami Bonplezi,1996,English,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),y,206,"Vilsaint, Fequiere"
mheurtelou,The Story Of The Cat And The Mouse,1999,English,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,20,
mheurtelou,Discovery,1999,English,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,144,
mheurtelou,Lafami Bonplezi,1994,French,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,282,
mheurtelou,Dyabet: Tout Sa You Moun Ki Fè Dyabèt Te Dwe Konnen,1992,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Nonfiction Book,n,65,
mheurtelou,Sezisman: Pou Lafami Bonplezi,1996,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,206,
mheurtelou,Mwen Rele Nadine,2001,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,16,
mheurtelou,Lafami Bonplezi,1994,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,282,
mheurtelou,Sezisman!: Pou Lafanmi Bonplezi,1997,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,206,
mheurtelou,Twa Zammi,2001,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,23,
mheurtelou,Mwen Pito Mango,2001,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,16,
mheurtelou,Istwa Chat Ak Sourit,1993,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,20,
mheurtelou,Anayiz Gen Lapenn,1993,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,16,
mheurtelou,Anayiz Ap Aprann: Istwa Ayiti,1993,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,32,
mheurtelou,Pitit Lyon,2004,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,24,
mheurtelou,Insects,1999,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,8,
mheurtelou,Colors,1999,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,12,
mheurtelou,Shapes,1999,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,12,
mheurtelou,Pwezi Timoun,2001,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Poetry Collection,n,106,
mheurtelou,Sandra: Cinderella In Haiti,2004,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,24,
mheurtelou,Seziman!: Pou Lafami Bonplezi,1999,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,238,
mheurtelou,Anayiz Ap Aprann: Ljyèn,1990,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,24,
