Maude Heurtelou,mheurtelou,haiti,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
mheurtelou,The Story Of The Cat And The Mouse,1999,English,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,20,
mheurtelou,Dekouvèt,1999,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,20,
mheurtelou,Lafami Bonplezi,1994,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,274,
mheurtelou,Dyabet: Tout Sa You Moun Ki Fè Dyabèt Te Dwe Konnen,1992,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Nonfiction Book,n,65,
mheurtelou,Sezisman: Pou Lafami Bonplezi,1999,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,238,
mheurtelou,Sezisman: Pou Lafami Bonplezi,1996,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,206,
mheurtelou,My name is Nadine,2001,English,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,16,
mheurtelou,Mwen Rele Nadine,2001,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,16,
mheurtelou,Anayiz Gen Lapenn,2001,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,16,
mheurtelou,Lafami Bonplezi,1994,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,274,
mheurtelou,Lafami Bonplezi,1996,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,250,
mheurtelou,Sezisman!: Pou Lafanmi Bonplezi,1997,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,206,
mheurtelou,Twa Zammi,2001,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,22,
mheurtelou,Mwen Pito Mango,2001,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,13,
mheurtelou,Istwa Chat Ak Sourit,1993,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,34,
mheurtelou,Istwa Chat Ak Sourit,2010,Haitian Creole,Educa Vision,"Coconut Creek, FL",United States,coconut_creek_fl_united¬†states,Fiction (Novel),n,20,
