Mervyn Morris,mmorris,jamaica,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
mmorris,The Faber Book of Contemporary Caribbean Short Stories,1990,English,Faber and Faber,London,England,london_england,Fiction (Short Story Collection),y,275,
mmorris,On Holy Week: A Sequence of Poems for Radio,1988,English,Pathways Publications,Kingston,Jamaica,kingston_jamaica,Poetry Collection,n,30,
mmorris,Focus: An Anthology of Contemporary Jamaican Writing,1983,English,Caribbean Authors Publishing Co.,Kingston,Jamaica,kingston_jamaica,Anthology,n,294,
mmorris,Another Claude McKay a Poet of Love,1985,English,NA,NA,NA,,NA,n,,
mmorris,Louise Bennett in Print,1982,English,Caribbean Quarterly,Mona,Jamaica,mona_jamaica,Nonfiction Book,n,104,
mmorris,Focus: An Anthology of Contemporary Jamaican Writing,1983,English,Caribbean Authors Publishing Co.,Kingston,Jamaica,kingston_jamaica,Anthology,n,294,
mmorris,On Holy Week,1976,English,Sangster's Book Stores,Kingston,Jamaica,kingston_jamaica,Poetry Collection,n,30,
mmorris,Gender In 'Summer lightning' And 'Talking Of trees',1988,English,"Women and Development Studies, Institute of International Relations, University of the West Indies",Mona,Jamaica,mona_jamaica,NA,n,11,
mmorris,Gender In Some Performance Poems,1987,English,"Women and Development Studies, University of the West Indies",Mona,Jamaica,mona_jamaica,NA,n,NA,
mmorris,Lunchtime medley : writings on West Indian cricket,2008,English,Ian Randle Publishers,Kingston,Jamaica,kingston_jamaica,Non Fiction,n,244,Co- Author: James Carnegie
mmorris,Seven Jamaican poets : an anthology of recent poetry,1971,English,Bolivar Press,Kingston,Jamaica,kingston_jamaica,Biography,n,58,
mmorris,"Is English we speaking' and other essays
",1999,English,Ian Randle Publishers,Kingston,Jamaica,kingston_jamaica,Non Fiction,n,189,
