Miguel Collazo,mcollazo,cuba,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
mcollazo,El Libro Fantástico de Oaj,1966,Spanish,Unión de Escritores y Artistas de Cuba,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,107,
mcollazo,Dulces Delirios,1996,Spanish,Cuento de Luz,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,123,
mcollazo,Estancias,1984,Spanish,Unión de Escritores y Artistas de Cuba,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,91,
mcollazo,Onoloria y Otros Relatos,1988,Spanish,Unión de Escritores y Artistas,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,196,
mcollazo,Trastiendas: Entre Domingo y Lacay,2000,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Fiction (Novel),n,151,
mcollazo,La Gorrita del Papa,1991,Spanish,Unión de Escritores y Artistas de Cuba,Havana,Cuba,havana_cuba,Fiction (Novel),n,24,
mcollazo,Estancias Brevarios Completos,1998,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,144,
mcollazo,El Laurel del Patio Grande,1978,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Short Story,n,39,
mcollazo,El Hilo del Ovillo,1998,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Fiction (Novel),n,231,
mcollazo,Estación Central,1993,Spanish,Instituto Cubano del Libro,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,261,
mcollazo,El Arco de Belén,1975,Spanish,Unión de Escritores y Artistas de Cuba,Havana,Cuba,havana_cuba,Fiction (Short Story Collection),n,132,
mcollazo,El Viaje,1968,Spanish,Instituto del Libro,Havana,Cuba,havana_cuba,Fiction (Novel),n,NA,
mcollazo,El Viajante,1992,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Fiction (Novel),n,17,"Frank, Eduardo"
