Milagros Rodríguez Cáceres,mrcaceres,spain,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
mrcaceres,"Manual de literatura española , 16 vols. ",1980,Spanish,Cénlit Ediciones,Tafalla,Spain,tafalla_spain,Anthology,n,848,w/ Felipe B Pedraza Jimenez
mrcaceres,La ciudad de la niebla,1993,Spanish,Editorial Bruño,Madrid,Spain,madrid_spain,,n,352,Ed. de Pío Baroja
mrcaceres,Las épocas de la literatura española,1997,Spanish,Ed. Ariel,Barcelona,Spain,barcelona_spain,,n,416,w/ Felipe B Pedraza Jimenez
mrcaceres,As editor: La vida de Lazarillo de Tormes,1998,Spanish,Editorial Bruño,Madrid,Spain,madrid_spain,,n,187,
mrcaceres,As editor: Niebla,1999,Spanish,Editorial Bruño,Madrid,Spain,madrid_spain,,n,331,by Miguel de Unamuno
mrcaceres,Literatura española. Historia y textos 1.: Edad Media - Prerrenacimiento - Renacimiento,1999,Spanish,Editorial Octaedro,Barcelona,Spain,barcelona_spain,,n,272,w/ Felipe B Pedraza Jimenez
mrcaceres,Historia esenciale de la literatura española e hispanoamericana ,2000,Spanish,Edaf,Madrid,Spain,madrid_spain,,n,784,w/ Felipe B Pedraza Jimenez
mrcaceres,La vida es sueño,2001,Spanish,Editorial Octahedro,Barcelona,Spain,barcelona_spain,,n,224,Ed. by Pedro Calderón de la Barca
mrcaceres,La vida del Buscón,2001,Spanish,Editorial Octaedro,Barcelona,Spain,barcelona_spain,,n,228,Ed. de Francisco de Quevedo
mrcaceres,Poesía de los Siglos de Oro,2002,Spanish,Área,Barcelona,Spain,barcelona_spain,,n,305,w/ Felipe B Pedraza Jimenez
mrcaceres,Donde hay agravios no hay celos. Abrir el ojo,2005,Spanish,Editorial Castalia,Madrid,Spain,madrid_spain,,n,489,Editor with Felipe Pedraza by Francisco de Rojas Zorrilla
mrcaceres,Don Quijote de la Mancha I.,2005,Spanish,Ciudad Real,Barcelona,Spain,barcelona_spain,,n,708,"With Felipe Pedraza, ed. by Miguel de Cervantes"
mrcaceres,Don Quijote de la Mancha II.,2011,Spanish,Edaf,Madrid,Spain,madrid_spain,,n,1056,
mrcaceres,As Editor with Felipe B. Pedraza Jiménez: de Segundo tomo de El ingenioso hidalgo don Quijote de La Mancha,2014,Spanish,Linkgua,Barcelona,Spain,barcelon_spain,,n,6,w/ Felipe B Pedraza Jimenez
