Mylene Pintado Fernandz,mpfernandez,cuba,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
mpfernandez,Altre Preghiere Esaudite,2004,Italian,Marco Tropea,Tropea,Italy,tr,Fiction (novel),y,185,
mpfernandez,Otras Plegarias Atendidas,2003,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Fiction (novel),n,237,
mpfernandez,Infiel y Otros Cuentos,2009,Spanish,Editorial Campana,"New York City, Ny",United States,new_york_ny_united_states,Fiction (novel),n,84,
mpfernandez,La Esquina del Mundo,2011,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Fiction (novel),n,142,
mpfernandez,Agua Dura,2017,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Fiction (short story),n,177,
mpfernandez,Vivir Sin Papeles,2010,Spanish,Editorial Oriente,Santiago,Cuba,santiago_cuba,Fiction (novel),n,85,
mpfernandez,Anhedonia,1999,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Fiction (novel),n,79,
mpfernandez,Little Woman in Blue Jeans,2008,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Fiction (novel),n,78,
mpfernandez,A Corner of the World,2014,English,City Lights Publishers,"San Francisco, CA",United States,san_francisco_ca_united¬†states,Fiction (novel),y,141,
mpfernandez,L'Angolo del Mondo,2017,Italian,Marcos y Marcos,Milan,Italy,milan_italy,Fiction (novel),y,224,
mpfernandez,Silverman,2019,Spanish,Revista Surco Sur,NA,NA,na_na,,n,NA,
