Nalo Hopkinson,nhopkinson,jamaica,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
nhopkinson,Brown Girl in the Ring ,1998,English,Warner Aspect,"New York, NY",United States,new_york_ny_united¬†states,Fiction (Novel),n,256,
nhopkinson,"""Slow Cold Chick"" in anthology Northern Frights 5",1999,English,Mosaic Press,Ontario,Canada,ontario_canada,Fiction (Short Story),n,259,
nhopkinson,"""A Habit of Waste"" in anthology Women of Other Worlds: Excursions through Science Fiction and Feminism",1999,English,University of Western Australia Press,Crawley,Western Australia,crawley_western_australia,Fiction (Short Story),n,472,
nhopkinson,"""Precious"" in anthology Silver Birch, Blood Moon",1999,English,Avon Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Short Story),n,371,Edited by Terri Windling and Ellen Datlow
nhopkinson,Midnight Robber,2000,English,Warner Aspect,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,336,
nhopkinson,Whispers from the Cotton Tree Root: Caribbean Fabulist Fiction,2000,English,Invisible Cities Press,"Chicago, IL",United States,chicago_il_united¬†states,Anthology,n,318,
nhopkinson,"""The Glass Bottle Trick"" in anthology Whispers From the Cotton Tree Root: Caribbean Fabulist Fiction",2000,English,Invisible Cities Press,"Chicago, IL",United States,chicago_il_united¬†states,Fiction (Short Story),n,,
nhopkinson,Under Glass,2001,English,Grand Central Publishing,"New York, NY",United States,new_york_ny_united¬†states,Fiction (Novel),n,23,
nhopkinson,Skin Folk,2001,English,Aspect,North Shields,England,north_shields_england,Short Stories,n,272,
nhopkinson,"""Midnight Robber"" (excerpt from novel) reprinted in Young Bloods: Stories from Exile 1972–2001",2001,English,Grand Central Publishing,"New York, NY",United States,new_york_ny_united_states,Fiction (Short Story),n,336,
nhopkinson,"""Delicious Monster"" in anthology Queer Fear II",2002,English,Arsenal Pulp Press,Vancouver,Canada,vancouver_bc_canada,Fiction (Short Story),n,304,
nhopkinson,The Salt Roads,2003,English,Warner Books,"New York, NY",United States,new_york_ny_united¬†states,Fiction (Novel),n,394,
nhopkinson,Mojo: Conjure Stories,2003,English,Aspect,North Shields,England,north_shields_england,Anthology,n,352,
nhopkinson,So Long Been Dreaming,2004,English,Arsenal Pulp Press,Vancouver,Canada,vancouver_bc_canada,Anthology,n,304,
nhopkinson,"""The Smile on the Face"" in anthology Girls Who Bite Back: Witches, Mutants, Slayers and Freaks",2004,English,Three O'Clock Press,Ontario,Canada,ontario_canada,Fiction (Short Story),n,358,Edited by Emily Pohl-Weary
nhopkinson,The New Moon's Arms,2007,English,Grand Central Publishing,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,336,
nhopkinson,The Chaos,2012,English,Margaret K. McElderry Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,256,
nhopkinson,Report From Planet Midnight,2012,English,PM Press,"New York, NY",United States,new_york_ny_united_states,Anthology,n,128,
nhopkinson,Sister Mine,2013,English,Grand Central Publishing,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,305,
nhopkinson,Falling in Love With Hominids,2015,English,Tachyon Publications,California,United States,california_united_states,Short Stories,n,240,
