Nicolás Guillén,ngullien,cuba,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
ngullien,Paginas Vueltas - Memorias,1982,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Autobiography/Memoir,n,318,
ngullien,Elegia A Jacques Roumain En El Cielo De Haiti,1948,Spanish,Ayon Impresor,Havana,Cuba,havana_cuba,Poem,n,10,
ngullien,Elegia A Jacques Roumain En El Cielo De Haiti,1948,Spanish,Ayon Impresor,Havana,Cuba,havana_cuba,Poem,n,10,
ngullien,El Son Entero,1952,Spanish,Losada,Buenos Aires,Argentina,buenos_aires_argentina,Poetry Collection,n,240,
ngullien,El Libro De Los Sones,1900,Spanish,Editorial Letras Cubanas,Havana,Cuba,havana_cuba,Poetry Collection,n,171,
ngullien,"!Ay Senora, Mi Vecina!",1960,Spanish,Southern Music Publishing Company,"San Antonio, TX",United States,san_antonio_tx_united_states,Poem,n,7,
ngullien,Nicolas Guillen.Obra Poetica.2 Vols.Primera Edicion.1972,1972,Spanish,Instituto Cubano del Libro,Havana,Cuba,havana_cuba,Poetry Collection,n,1134,
ngullien,Musica De Camara,1971,Spanish,Ediciones Unión,Havana,Cuba,havana_cuba,Poetry Collection,n,148,
ngullien,Memories - Anthologie Poétique,2007,French,Desnel,Fort-de-France,Martinique,fort_de_france_martinique,Poetry Collection,y,82,"Hughes, Langston; Roumain, Jacques"
ngullien,Motivos de son,1930,Spanish,"Imprenta y Papeleria de Rambla, Bouze y Ca.",Havana,Cuba,havana_cuba,Poem,n,12,
ngullien,Sóngoro cosongo,1931,Spanish,"Talleres de Ucar, Garcia y Cia.",Havana,Cuba,havana_cuba,Poetry Collection,n,56,
ngullien,España: poema en cuatro angustias y una esperanza,1937,Spanish,Edic. Españolas,Valencia,Spain,valencia_v_spain,Poem,n,39,Manuel Altolaguirre
ngullien,Cantos para soldados y sones para turistas,1937,Spanish,Editorial Masas,Mexico City ,Mexico,mexico_city_mexico,Poetry Collection,n,84,
ngullien,Tengo,1964,Spanish,"Editora del Consejo Nacional de Universidades, Universidad Central de Las Villas",Santa Clara,Cuba,santa_clara_cuba,Poetry Collection,n,197,José Antonio Portuondo
ngullien,Poemas de amor,1964,Spanish,Ediciones La Tertulia,Havana,Cuba,havana_cuba,Poetry Collection,n,59,
ngullien,El gran zoo,1967,Spanish,Ed. Unión,Havana,Cuba,havana_cuba,Poetry Collection,n,85,
ngullien,La rueda dentada,1972,Spanish,Unión de Escritores y Artistas de Cuba,Havana,Cuba,havana_cuba,Poetry Collection,n,131,
ngullien,El diario que a diario,1972,Spanish,Unión de Escritores y Artistas de Cuba,Havana,Cuba,havana_cuba,Poetry Collection,n,87,
ngullien,Por el mar de las Antillas anda un barco de papel. Poemas para niños y mayores de edad,1977,Spanish,Unión de Escritores y Artistas de Cuba,Havana,Cuba,havana_cuba,Poetry Collection,n,85,
ngullien,Yoruba from Cuba: Selected Poems of Nicolas Guillen,2005,English,Peepal Tree Press,"Leeds, LND",England,leeds_ldn_england,Poetry Collection,y,208, translated by Salvador Ortiz-Carboneres
