Odimumba Kwamdela,okwamdela,barbados,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
okwamdela,Niggers - this is Canada,1971,English,21st Century Press,"Toronto,ON",Canada,toronto_on_canada,Fiction (Novel),n,70,
okwamdela,A black British soldier,1969,English,21st Century Press,"Toronto,ON",Canada,toronto_on_canada,Biography,n,96,
okwamdela,Souls in the wilderness,1970,English,21st Century Press,"Toronto,ON",Canada,toronto_on_canada,Biography,n,80,
okwamdela,Back to Penny Hole forever,1997,English,Kibo Books,"Brooklyn, NY",United States ,brooklyn_ny_united states,Fiction (Novel),n,168,
okwamdela,The grassroots philosopher,1977,English,21st Century Press,"Toronto,ON",Canada,toronto_on_canada,Poetry Collection,n,56,
okwamdela,Bitter soul,1970,English,21st Century Press,"Toronto,ON",Canada,toronto_on_canada,,n,20,
okwamdela,Blood-boiling Black blues,1983,English,Kibo Books,"Brooklyn, NY",United States ,brooklyn_ny_united states,Poetry Collection,n,50,
okwamdela,Raining ruins and rockstones,1992,English,Kibo Books,"Brooklyn, NY",United States ,brooklyn_ny_united states,Fiction (Novel),n,118,
okwamdela,"Mighty Sparrow, calypso king of the world",2006,English,Kibo Books,"Brooklyn, NY",United States ,brooklyn_ny_united states,Biography,n,228,
okwamdela,The righteous blackman,1970,English,21st Century Press,"Toronto,ON",Canada,toronto_on_canada,Biography,n,24,
okwamdela,The prophet next door,1981,English,Kibo Books,"Brooklyn, NY",United States ,brooklyn_ny_united states,Poetry Collection,n,57,
okwamdela,"Raining ruins, roses & rockstones",2000,English,Kibo Books,"Brooklyn, NY",United States ,brooklyn_ny_united states,Fiction (Novel),n,151,
okwamdela,The grassroots philosopher and prophet next door,2009,English,Kibo Books,"Brooklyn, NY",United States ,brooklyn_ny_united states,Anthology,n,72,
okwamdela,Journey through jailhouse jeopardy : a good New York City teacher ends up down in bad Rikers Island jail,2004,English,Kibo Books,"Brooklyn, NY",United States ,brooklyn_ny_united states,Biography,n,283,
okwamdela,Black British soldier ; Niggers this is Canada,1986,English,Kibo Books,"Brooklyn, NY",United States ,brooklyn_ny_united states,Anthology,n,88,
