Pamela Mordecai,pmordecai,jamaica,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
pmordecai,Story Poems,1987,English,Wright Group,"San Diego, CA",United States,san_diego_ca_united¬†states,Poetry Collection,n,NA,
pmordecai,Journey Poem,1988,English,Sandberry Press,Kingston,Jamaica,kingston_jamaica,Poetry Collection,n,56,
pmordecai,From Our Yard: Jamaican Poetry Since Independence,1987,English,Institute of Jamaica Publications,Kingston,Jamaica,kingston_jamaica,Poetry Collection,n,251,
pmordecai,Another Me,1987,English,Ginn and Company,Aylesbury,England,aylesbury_england,Poem,n,56,Co-authors : Rowan Barnes-Murphy
pmordecai,Remember,1987,English,Ginn and Company,Aylesbury,England,aylesbury_england,Poem,n,12,Co-authors : Mike Gordon
pmordecai,Wave a Wand,1987,English,Ginn and Company,Aylesbury,England,aylesbury_england,Poem,n,NA,Co-authors : Jan Nesbitt
pmordecai,Our House,1987,English,Ginn and Company,Aylesbury,England,aylesbury_england,Poem,n,8,Co-authors: Rob Salt
pmordecai,Jemima,1987,English,Ginn and Company,Aylesbury,England,aylesbury_england,Poem,n,16,Co-authors: Ivan Ripley
pmordecai,If I Were...,1987,English,Ginn and Company,Aylesbury,England,aylesbury_england,Poem,n,12,Co-authors: Lesley Smith
pmordecai,If Wishes Were Horses ...,1987,English,Ginn and Company,Aylesbury,England,aylesbury_england,Poem,n,11,Co-authors: Annabel Spenceley
pmordecai,Jamaica Woman: An Anthology of Poems,1985,English,Heinemann,London,England,(london)_england,Poetry Collection,n,110,Co-authors: Mervyn Morris
pmordecai,Her True-True Name: An Anthology of Women's Writing From the Caribbean,1989,English,Heinemann,Oxford,England,,Anthology,n,202,
pmordecai,Pink Icing,2006,English,Insomniac Press,Toronto,Canada,toronto_on_canada,Fiction (Short Story Collection),n,242,
pmordecai,De Book of Joseph,2022,English,Mawenzi House Publishers Ltd,Toronto,Canada,toronto_on_canada,Poem,n,144,
pmordecai,Don't Ever Wake a Snake,1991,English,Sandberry Press,Kingston,Jamaica,kingston_jamaica,Fiction (Short Story Collection),n,20,
pmordecai,De Man : a dramatic poem,1995,English,Sister Vision Press,Toronto,Canada,toronto_on_canada,Poetry Collection,n,81,
pmordecai,Ezra's Goldfish and other storypoems,1995,English,National Book Development Council of Jamaica,Kingston,Jamaica,kingston_jamaica,Poem,n,45,Co-authors: Shirley Burke
pmordecai,Rohan Goes to Big School,2009,English,Macmillan Education,London,England,london_ldn_england,Short Story,n,32,Co-authors: Avril Turner
pmordecai,The Costume Parade,2000,English,Oxford University Press,Oxford,England,,Short Story,n,24,Co-autors: Evie Safarewicz
pmordecai,Certifiable,2001,English,Goose Lane Editions,"Fredericton, NB",Canada,fredericton_nb_canada,Nonfiction,n,100,
pmordecai,Culture and customs of Jamaica,2001,English,Greenwood,"Westport, CT",United States,westport_ct_united¬†states,Nonfiction,n,217,Co-authors: Martin Mordecai
pmordecai,The True Blue of Islands,2005,English,Sandberry Press,"Toronto, ON",Canada,toronto_on_canada,Poetry Collection,n,64,
pmordecai,Calling cards : new poetry from Caribbean/Canadian women,2005,English,Sandberry Press,"Toronto, ON",Canada,toronto_on_canada,Anthology,n,96,
pmordecai,Subversive sonnets : poems,2012,English,TSAR,"Toronto, ON",Canada,toronto_on_canada,Poetry Collection,n,82,
pmordecai,Red Jacket.,2015,English,Dundurn,"Toronto, ON",Canada,toronto_on_canada,Fiction (Novel),n,559,
pmordecai,De book of Mary : a performance poem,2015,English,Mawenzi House Publishers Ltd,"Toronto, ON",Canada,toronto_on_canada,Poetry Collection,n,125,
