Paul Keens-Douglas,pkeensdouglas,trinidad_&_tobago,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
pkdouglas,"""Well Let Me Tell You ..."": An Evening With Paul Keens-Douglas",2007,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad,Anthology,n,NA,
pkdouglas,The Best Of Paul Keens-Douglas. Vol. One,1997,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad,Nonfiction,n,NA,
pkdouglas,Role Call: Poetry And Short Stories,1997,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad,Fiction (Novel),n,62,
pkdouglas,Twice Upon A Time: Poetry & Short Stories,1989,English,Keensdee Production,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad,Fiction (Novel),n,139,
pkdouglas,"""As Ah Was Sayin' ..."": Selected Works Of Paul Keens-Douglas. vol. III",2008,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,Fiction (Novel),n,243,
pkdouglas,When Moon Shine,1975,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,Fiction (Short Story Collection),n,63,
pkdouglas,"""Tim Tim""",1976,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,NA,n,104,
pkdouglas,Tanti At De Oval: Selected Works of Paul Keens-Douglas,1980,English,Zenith,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,Fiction (Novel),n,128,
pkdouglas,Tell Me Again,1979,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,Poem,n,125,
pkdouglas,Crick ... Crack ... Cricket!!: A Humourous Look At Cricket,2000,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,NA,n,NA,
pkdouglas,"Las' Lap: Farewell To The Nineties : The Humour, Poetry and Storytelling",2000,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,NA,n,NA,
pkdouglas,"It's The Little Things: The Poetry, Humour, Poetry And Storytelling",2002,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,NA,n,NA,
pkdouglas,The Best Of Paul Keens-Douglas. Vol. 2,2001,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,NA,n,NA,
pkdouglas,It' Not Easy: The Best Of Paul Keens-Douglas. Vol. 3,2003,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,NA,n,NA,
pkdouglas,My Daddy ... Is De Best: Stories For The Family,2005,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,NA,n,20,
