Paul Keens-Douglas,pkeens-douglas,,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
pkeens-douglas,Twice Upon A Time: Poetry & Short Stories,2005,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad,Fiction (Short Story Collection),n,139,
pkeens-douglas,"""Well Let Me Tell You ..."": An Evening With Paul Keens-Douglas",2007,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad,Anthology,n,,
pkeens-douglas,The Best Of Paul Keens-Douglas. Vol. One,1997,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad,Non Fiction,n,,
pkeens-douglas,Role Call: Poetry And Short Stories,1997,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad,Fiction ,n,62,
pkeens-douglas,Twice Upon A Time: Poetry & Short Stories,1989,English,Keensdee Production,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad,Fiction ,n,139,
pkeens-douglas,Tanti At De Oval: Selected Works Of Paul Keens-Douglas,2002,English,Seijusha,Tokyo,Japan ,tokyo_japan,Fiction,n,183,
pkeens-douglas,"""As Ah Was Sayin' ..."": Selected Works Of Paul Keens-Douglas. vol. III",2008,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,Fiction (Novel),n,243,
pkeens-douglas,When Moon Shine,1975,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,Fiction (Short Story Collection),n,63,
pkeens-douglas,When Moon Shine,1979,English,College Press,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,Fiction (Short Story Collection),n,66,
pkeens-douglas,"""Tim Tim""",1976,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,NA,n,104,
pkeens-douglas,"""Tim Tim"": The Dialect Poetry Of Paul Keens-Douglas",1989,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,NA,n,104,
pkeens-douglas,Tanti At De Oval: Selected Works Of Paul Keens-Douglas,1980,English,Zenith,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,Fiction,n,128,
pkeens-douglas,Tanti At De Oval: Selected works Of Paul Keens-Douglas,1992,English,Zenith,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,Fiction,n,128,
pkeens-douglas,Tell Me Again,1979,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,,n,125,
pkeens-douglas,Twice Upon A Time: Poetry & Short Stories,2005,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,Anthology,n,139,
pkeens-douglas,Crick ... Crack ... Cricket!!: A Humourous Look At Cricket,2000,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,NA,n,,
pkeens-douglas,"Las' Lap: Farewell To The Nineties : The Humour, Poetry And Storytelling",2000,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,NA,n,,
pkeens-douglas,"It's The Little Things: The Poetry, Humour, Poetry And Storytelling",2002,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,NA,n,,
pkeens-douglas,The Best Of Paul Keens-Douglas. Vol. 2,2001,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,NA,n,,
pkeens-douglas,It' Not Easy: The Best Of Paul Keens-Douglas. Vol. 3,2003,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,NA,n,,
pkeens-douglas,My Daddy ... Is De Best: Stories For The Family,2005,English,Keensdee Productions,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,NA,n,,
