Richardo Keens-Douglas,rkdouglas,grenada,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
rkdouglas,The Nutmeg Princess,1992,English,Annick Press,Toronto,Canada,toronto_canada,Short Story,n,32,
rkdouglas,La Diablesse And The Baby: A Caribbean Folktale,1994,English,Annick Press,Toronto,Canada,toronto_canada,Short Story,n,24,
rkdouglas,Freedom Child of the Sea,1995,English,Annick Press,Toronto,Canada,toronto_canada,Short Story,n,24,
rkdouglas,Grandpa's Visit,1996,English,Annick Press,Toronto,Canada,toronto_canada,Short Story,n,24,
rkdouglas,The Miss Meow Pageant,1998,English,Annick Press,Toronto,Canada,toronto_canada,Short Story,n,32,
rkdouglas,"Mama god, Papa god : a Caribbean tale",2000,English,Tradewind Books,Vancouver,Canada,vancouver_bc_canada,Short Story,n,32,
rkdouglas,The Trial of the Stone: A Folk Tale,2000,English,Annick Press,Toronto,Canada,toronto_canada,Short Story,n,32,
rkdouglas,Anancy and the Haunted House,2002,English,Annick Press,Toronto,Canada,toronto_canada,Short Story,n,32,
rkdouglas,The Firefly who Lost His Light: A Play,2003,English,Scholastic Canada,Markham,Canada,markham_canada,Drama,n,24,
rkdouglas,Tales From The Isle Of Spice,2004,English,Annick Press,Toronto,Canada,toronto_canada,Fiction (Short Story Collection),n,46,
rkdouglas,Ay Ya Yai Ivan: A musical play about Hurricane Ivan,2014,English,CreateSpace Independent Publishing Platform,"Scotts Valley, CA",United States,scotts_valley_ca_united_states,Drama,n,116,
rkdouglas,,,,,,,,,,,
