Roger Dorsinville,rodorsinville,haiti,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
rodorsinville,"Kimby, ou, La loi de Niang",1973,French,Éditions Deschamps,Port-au-Prince,Haiti,port_au_prince_haiti,Fiction (Novel),n,189,
rodorsinville,L'Afrique des rois,1975,French,Deschamps,Port-au-Prince,Haiti,port_au_prince_haiti,Fiction (Novel),n,119,
rodorsinville,Un Homme en trois morceaux,1975,French,Deschamps,Port-au-Prince,Haiti,port_au_prince_haiti,Fiction (Novel),n,119,
rodorsinville,"Mourir pour Haïti, ou, Les croisés d'Esther",1980,French,l'Harmattan,Paris,France,paris_france,Fiction (Novel),n,144,
rodorsinville,Renaître à Dendé,1980,French,l'Harmattan,Paris,France,paris_france,Fiction (Novel),n,141,
rodorsinville,De Fatras Bâton à Toussaint Louverture,1983,French,Enal,Algiers,Nigeria,algiers_nigeria,Fiction (Novel),n,103,
rodorsinville,Marche arrière,1986,French,Haitian Book Centre,Port-au-Prince,Haiti,port_au_prince_haiti,Autobiography/Memoir,n,248,
rodorsinville,Accords perdus,1987,French,CIDIHCA,"Montréal, Quebec",Canada,quebec_canada,Fiction (Novel),n,190,
rodorsinville,Ils ont tué le vieux blanc,1988,French,Deschamps,Port-au-Prince,Haiti,port_au_prince_haiti,Fiction (Novel),n,203,
rodorsinville,Une Haïtienne à New York,1991,French,Éditions des Antilles,Port-au-Prince,Haiti,port_au_prince_haiti,Fiction (Novel),n,298,
rodorsinville,Les Vèvès du Créateur,1989,French,Deschamps,Port-au-Prince,Haiti,port_au_prince_haiti,Fiction (Novel),n,172,
rodorsinville,"Rites de passage (complete works, 11 volumes)",1990,French,Deschamps,Port-au-Prince,Haiti,port_au_prince_haiti,Anthology,n,NA,
rodorsinville,Marche arrière II ,1991,French,Éditions des Antilles,Port-au-Prince,Haiti,port_au_prince_haiti,Autobiography/Memoir,n,248,
rodorsinville,Pour Célébrer la terre,1955,French,Presses Libres,Port-au-Prince,Haiti,port_au_prince_haiti,Poetry Collection,,120,
rodorsinville,Le Grand Devoir,1962,French,Taller Gráfico CIES,Madrid,Spain,madrid_spain,Poetry Collection,,16,
