Roxane Gay,rgay,united_states,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
rgay,Ayiti,2011,English,Artistically Declined Press,"New York, NY",United States,new_york_united_states,Fiction (Short Story),n,126,2011
rgay,An Untamed State,2014,English,Grove Press,"New York, NY",United States,new_york_united_states,Fiction (Novel),n,368,
rgay,Bad Feminist,2014,English,HarperCollins,"New York, NY",United States,new_york_united_states,Nonfiction Book,n,336,
rgay,World of Wakanda,2016,English,Marvel,"New York, NY",United States,new_york_united_states,Fiction (Short Story),n,144,
rgay,Difficult Women,2017,English,Grove Press,"New York, NY",United States,new_york_united_states,Fiction (Short Story),n,298,
rgay,Hunger,2017,English,HarperCollins,"New York, NY",United States,new_york_united_states,Nonfiction Book,n,320,
rgay,Not That Bad,2018,English,HarperCollins,"New York, NY",United States,new_york_united_states,Nonfiction Book,n,368,
rgay,Ayiti,2018,English,Grove Press,"New York, NY",United States,new_york_united_states,Fiction (Novel),n,320,
rgay,The Best American Short Stories 2018,2018,English,Houghton Mifflin Harcourt,"Boston, MA",United States,boston_ma_united_states,Fiction (Novel),n,352,
rgay,The Banks,2019,English,TKO Studios,"Los Angeles, CA",United States,los_angeles_united_states,Fiction (Novel),n,155,
rgay,The Selected Works of Audre Lorde,2020,English,W.W. Norton & Company,"New York, NY",United States,new_york_united_states,Poetry,n,384,Co-Author:: Audre Lorde
rgay,Graceful Burdens,2020,English,Amazon Original Stories,"Seattle, WA",United States,seattle_wa_united_states,Fiction (Short Story),n,24,
rgay,The Sacrifice of Darkness,2020,English,Archaia,"Los Angeles, CA",United States,los_angeles_united_states,Fiction (Novel),n,128,
