Severo Sarduy,ssarduy,cuba,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
ssarduy,Cobra,1972,French,Éditions du Seuil,Paris,France,paris_france,Fiction (Novel),y,176,
ssarduy,Gestes,1963,French,Éditions du Seuil,Paris,France,paris_france,Fiction (Novel),y,160,
ssarduy,Big-Bang,1974,Spanish,Tusquets Editores S.A.,Barcelona,Spain,barcelona_spain,Poetry Collection,n,114,
ssarduy,Gestos,1963,Spanish,Seix Barral,Barcelona,Spain,barcelona_spain,Fiction (Novel),n,111,
ssarduy,De Donde Son Los Cantantes,1993,Spanish,Ediciones Cátedra,Madrid,Spain,madrid_spain,Nonfiction,n,240,
ssarduy,Escrito Sobre un Cuerpo,1969,Spanish,Editorial Sudamericana,Buenos Aires,Argentina,buenos_aires_argentina,Essays,n,NA,
ssarduy,Flamenco,1969,German,Manus-Presse,Stuttgart,Germany,stuggart_germany,Potery Collection,y,25,
ssarduy,Mood Indigo,1970,German,Manus-Presse,Stuttgart,Germany,stuggart_germany,Poetry Collection,y,NA,
ssarduy,Cobra ,1986,Spanish,Editorial Sudamericana,Beunos Aires,Argentina,buenos_aires_argentina,Fiction (Novel),n,263,
ssarduy,Maitreya,1978,Spanish,Seix Barral,Barcelona,Spain,barcelona_spain,Fiction (Novel),n,187,
ssarduy,Daiquiri,1984,Spanish,Severo Sarduy,Santa Cruz de Tenerife,Spain,santa_cruz_de_tenerife_spain,Poetry Collection,n,12,
ssarduy,La simulación,1982,Spanish,Monte Avila Editores,Caracas,Venezuela,caracas_venezuela,Essay,n,134,
ssarduy,Colibrí,1984,Spanish,Argos Vergara ,Barcelona,Spain,barcelona_spain,Fiction (Novel),n,179,
ssarduy,Un testigo fugaz y disfrazado,1985,Spanish,Ediciones del Mall,Barcelona,Spain,barcelona_spain,Poetry Collection,n,NA,
ssarduy,El cristo de la Rue Jacob,1987,Spanish,Ediciones del Mall,Barcelona,Spain,barcelona_spain,Essays,n,118,
ssarduy,Nueva inestabilidad,1987,Spanish,Vuelta,Mexico City,Mexico,mexico_city_mexico,Essays,n,71,
ssarduy,Ensayos generales sobre el barroco,1987,Spanish,Fondo de Cultura Económica,Buenos Aires,Argentina,buenos_aires_argentia,Essays,n,323,
ssarduy,Cocuyo,1990,Spanish,Tusquets Editores S.A.,Barcelona,Spain,barcelona_spain,Fiction (Novel),n,209,
ssarduy,Pájaros de la playa,1993,Spanish,Tusquets Editores S.A.,Barcelona,Spain,barcelona_spain,Fiction (Novel),n,225,
ssarduy,Barroco,1974,Spanish,Editorial Sudamericana,Beunos Aires,Argentina,buenos_aires_argentina,Essays,n,NA,
ssarduy,El Estampido de la Vacuidad,1994,Spanish,Vuelta,Mexico City,Mexico,mexico_city_mexico,Essays,n,NA,
ssarduy,Overdose,1972,Spanish,Inventarios Provisionales,Las Palmas,Spain,las_palamas_spain,Poetry Collection,n,17,
ssarduy,Epitafios,1994,Spanish,Ediciones Universal,"Miami, FL",United States,miami_fl_united¬†states,Poetry Collection,n,85,
ssarduy,Poesía Bajo Programa,1994,Spanish,Universidad Internacional Menéndez Pelayo,"Santa Cruz de Tenerife, Tenerife",Spain,santa_cruz_de_tenerife_spain,Poetry Collection,n,34,
