Stephen A Dantes,sadantes,st._lucia,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
sadantes,Letters To My Son,2012,English,The Independent,"Chicago, IL",United States,chicago_il_united states,Poetry Collection,n,53,
sadantes,Exit Mic Still Hanging,2012,English,Amazon Kindle Publishing,"Seattle, WA",United States,seattle_wa_united states,Poetry Collection,n,25,
sadantes,Creole Chapbook 2012,2012,English,Amazon Kindle Publishing,"Seattle, WA",United States,seattle_wa_united states,Poetry Collection,n,N/A,
sadantes,Silent Defeat Bitter Confrontation,2011,English,Setna,NA,NA,na_na,Fiction (Novel),n,47,
sadantes,Soul Mates | Confessions of a Stoic,2012,English,The Independent,"Chicago, IL",United States,chicago_il_united states,Poetry Collection,n,54,
sadantes,Lucian Chronicles 1,2011,English,The Independent,"Chicago, IL",United States,chicago_il_united states,Poetry Collection,n,49,
sadantes,All Black Everything,2012,English,Amazon Kindle Publishing,"Seattle, WA",United States,seattle_wa_united states,Poetry Collection,n,27,
sadantes,The Alter Ego,2011,English,Amazon Kindle Publishing,"Seattle, WA",United States,seattle_wa_united states,Poetry Collection,n,46,
sadantes,Soul Mates | Confessions of a Stoic,2012,English,The Independent,"Chicago, IL",United States,chicago_il_united states,Poetry Collection,n,54,
sadantes,The Love Doctor,2011,English,Amazon Kindle Publishing,"Seattle, WA",United States,seattle_wa_united states,Poetry Collection,n,34,
sadantes,Hindsight,2011,English,Mayers Printing Company Ltd,Castries,St. Lucia,castries_st. lucia,Poetry Collection,n,114,
sadantes,Is It Love?: A Triangle Gone Square,2012,English,AuthorHouse,"Bloomington, IN",United States,bloomington_in_united states,Poetry Collection,n,316,
