Tessa McWatt,tmcwatt,guyana,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
tmcwatt,Out of My Skin,1998,English,Cormorant Books,Toronto,Canada,toronto_canada,Fiction (Novel),n,208,
tmcwatt,Dragon's Cry,2000,English,Cormorant Books,Toronto,Canada,toronto_canada,Fiction (Novel),n,195,
tmcwatt,There's No Place Like... (novella),2004,English,Macmillan Caribbean,London,England,(london)_england,Fiction (Novella),n,136,
tmcwatt,This Body,2004,English,HarperCollins,Toronto,Canada,toronto_canada,Fiction (Novel),n,336,
tmcwatt,Step Closer,2009,English,HarperCollins,Toronto,Canada,toronto_canada,Fiction (Novel),n,352,
tmcwatt,Vital Signs,2012,English,Random House Canada,Toronto,Canada,toronto_canada,Fiction (Novel),n,176,
tmcwatt,The Taste of Marmalade,2013,English,Independently Published,London,England,(london)_england,Short Story,n,25,
tmcwatt,Higher Ed,2015,English,Random House Canada,Toronto,Canada,toronto_canada,Fiction (Novel),n,304,
tmcwatt,Luminous Ink (Anthology),2018,English,Cormorant Books,Toronto,Canada,toronto_canada,Anthology,n,288,
tmcwatt,Shame on Me: An Anatomy of Race and Belonging,2019,English,Scribe UK,London,England,(london)_england,Autobiography,n,272,
tmcwatt,Where Are You Agnes?,2020,English,Groundwood Books,Toronto,Canada,toronto_canada,Short Story,n,44,
tmcwatt,The Snow Line,2021,English,Scribe UK,London,England,(london)_england,Fiction (Novel),n,256,
