Tobias S. Buckell,tsbuckell,Grenada,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
tsbuckell,"""Waiting For The Zephyr"" in Jackhammer",1999,English,Jackhammer,,,,Short Stories,,,
tsbuckell,"""In Orbite Medievali"" – Writers of The Future",2000,English,Writers of the Future,,United States,,Fiction (Short Story),,,
tsbuckell,"""Spurn Babylon"" – Whispers From The Cotton Tree Root",2000,English,Invisible Cities Press,"Montpelier, Vt",United States,,Fiction (Short Story),,,
tsbuckell,"""All Her Children Fought"" – Speculon",2001,English,Speculon,,,,Fiction (Short Story),,,
tsbuckell,"""Trinkets"" – The Book of All Flesh",2001,English,Night Shade Books,"San Francisco, CA",United States,,Fiction (Short Story),,,
tsbuckell,"""A Green Thumb"" – Analog",2002,English,Analog Science Fiction and Fact,,,,Fiction (Short Story),,,
tsbuckell,"""Kisses"" - Vestal Review",2002,English,Vestal Review,,,,Fiction (Short Story),,,
tsbuckell,"""Nord’s Gambit"" – switch.blade",2002,English,Tobias S. Buckell,,,,Fiction (Short Story),,20,
tsbuckell,"""The Shackles of Freedom"" (with Mike Resnick) – With A Little Help From My Friends",2002,English,Night Shade Books,"San Francisco, CA",United States,,Fiction (Short Story),,1,Mike Resnick
tsbuckell,"""Tides"" – Ideomancer Unbound ",2002,English,Ideomancer,,Canada,,Fiction (Short Story),,1,
tsbuckell,"""Death’s Dreadlocks"" – Mojo: Conjure Stories",2003,English,Warner Aspect,,,,Fiction (Short Story),,26 mins,Nalo Hopkinson (Editor)
tsbuckell,"""Smooth Talking"" – Marsdust",2003,English,,,,,Fiction (Short Story),,,
tsbuckell,"""In The Heart of Kalikuata"" – Men Writing SF As Women",2003,English,,,,,Fiction (Short Story),,,
tsbuckell,"""Four Eyes"" – New Voices in Science Fiction",2003,English,,,,,Fiction (Short Story),,,
tsbuckell,"""Her"" – Fortean Bureau",2004,English,,,,,Fiction (Short Story),,,
tsbuckell,"""Necahual"" – So Long Been Dreaming: Postcolonial Science Fiction and Fantasy",2004,English,,,,,Fiction (Short Story),,,
tsbuckell,"""Aerophilia"" – All Star Zeppelin Stories ",2004,English,,,,,Fiction (Short Story),,,
tsbuckell,"""Anakoinosis"" – I Alien",2005,English,,,,,Fiction (Short Story),,,
tsbuckell,"""Toy Planes"" – Nature Magazine",2005,English,,,,,Fiction (Short Story),,,
tsbuckell,Crystal Rain,2006,English,,,,,Fiction (Novel),,,
tsbuckell,""" Shoah Sry"" (with Ilsa J. Bick) – Subterranean Magazine",2006,English,,,,,Fiction (Short Story),,,
tsbuckell,"""The Silver Streak"" – Space Cadets",2006,English,,,,,Fiction (Short Story),,,
tsbuckell,"""The Last Twilight"" – Golden Age SF: Tales of a Bygone Future",2006,English,,,,,Fiction (Short Story),,,
tsbuckell,"""The Duel"" – Electric Velocipede #11",2006,English,,,,,Fiction (Short Story),,,
tsbuckell,Ragamuffin,2007,English,,,,,Fiction (Novel),,,
tsbuckell,"""Io, Robot"" – Visual Journeys: a tribute to space art",2007,English,,,,,Fiction (Short Story),,,
tsbuckell,Sly Mongoose,2008,English,,,,,Fiction (Novel),,,
tsbuckell,Halo: The Cole Protocol,2008,English,,,,,Fiction (Novel),,,
tsbuckell,Stochasticity,2008,English,,,,,Novellas,,,
tsbuckell,"""Manumission"" – Baen’s Universe",2008,English,,,,,Fiction (Short Story),,,
tsbuckell,"""The People’s Machine"" – Sideways in Crime",2008,English,,,,,Fiction (Short Story),,,
tsbuckell,"""Resistance"" – Seeds of Change",2008,English,,,,,Fiction (Short Story),,,
tsbuckell,"""Mitigation"" (w/ Karl Schroeder) – Fast Forward 2",2008,English,,,,,Fiction (Short Story),,,
tsbuckell,Tides from the New Worlds,2009,English,,,,,Short Stories,,,
tsbuckell,"""Something in The Rock"" – Tides From The New Worlds",2009,English,,,,,Fiction (Short Story),,,
tsbuckell,"""Placa Del Fuego"" – Clarkesworld Magazine",2009,English,,,,,Fiction (Short Story),,,
tsbuckell,"""Dirt"" – HALO: Evolutions",2009,English,,,,,Fiction (Short Story),,,
tsbuckell,"""Steam"" – Would That It Were",2010,English,Wyrm Publishing,"Stirling, NJ",United States,,Fiction (Short Story),,,
tsbuckell,Byways – METAtropolis: Cascadia,2010,English,Audible,,United States,,Novellas,,1 hr and 35 mins,
tsbuckell,"""A Jar of Goodwill"" – Clarkesworld Magazine",2010,English,Wyrm Publishing,"Stirling, NJ",United States,,Fiction (Short Story),,8050 words,
tsbuckell,"""On The Eve of the Fall of Habesh"" – Speculative Horizons",2010,English,Subterranean Press,"Burton, MI",United States,,Fiction (Short Story),,127,Patrick ST. Denis (Editor)
tsbuckell,The Executioness,2011,English,Tor Books,New York City,United States,,Novellas,,102,
tsbuckell,Nascence ,2011,English,Merry Blacksmith Press,"West Warwick, RI",United States,,Short Stories,,319,
tsbuckell,"""The Fall of Alacan"" – Subterranean Magazine",2011,English,Subterranean Press,"Burton, MI",United States,,Fiction (Short Story),,,
tsbuckell,"""The Universe Reef""– Nature Magazine",2011,English,Nature Magazine,London,England,,Fiction (Short Story),,925,
tsbuckell,"""Love Comes To Abyssal City"" – Hot And Steamy: Tales of Steampunk Romance",2011,English,DAW Books Inc,"New York City, NY",United States,,Fiction (Short Story),,305,Martin H. Greenberg (Editor) & Jean Rabe (Editor)
tsbuckell,"""Mirror, Mirror"" – Subterranean Magazine",2011,English,Subterranean Press,"Burton, MI",United States,,Fiction (Short Story),,22 mins,
tsbuckell,"""Lonely Islands"" – MIT Technology Review",2011,English,MIT Technology Review,"Cambridge, MA",United States,,Fiction (Short Story),,1,
tsbuckell,"""A Militant Peace"" (w/ David Klecha) – Clarkesworld Magazine",2011,English,Wyrm Publishing,"Stirling, NJ",United States,,Fiction (Short Story),,7750 words,David Klecha
tsbuckell,Apocalypse Ocean,2012,English,Night Shade Books,"San Francisco, CA",United States,,Fiction (Novel),,244,
tsbuckell,Arctic Rising,2012,English,Tor Books,New York City,United States,,Fiction (Novel),,304,
tsbuckell,Mitigated Futures,2012,English,Brilliance Publishing,Michigan,United States,,Short Stories,,217,
tsbuckell,"Diverse Energies, co-edited with Joe Monti",2012,English,Tu Books,New York City,United States,,Anthology,,368,
tsbuckell,"""A Tinker of Warhoon"" – Under the Moons of Mars: New Adventures on Barsoom",2012,English,Simon & Schuster,New York City,United States,,Fiction (Short Story),,352,
