Undine Giuseppi,ugiuseppi,barbados,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
ugiuseppi,Sir Frank Worrell,1969,English,Nelson Thornes,Cheltenham,England,cheltenham_england,Biography,n,92,
ugiuseppi,Nelson’s New West Indian Readers 1,1971,English,Nelson Thornes,Cheltenham,England,cheltenham_england,Anthology,n,112,
ugiuseppi,Nelson’s New West Indian Readers 2,1971,English,Thomas Nelson & Sons LTD.,"Nashville, TN",United States,nashville_tn_united¬†states,Anthology,n,128,
ugiuseppi,Backfire,1973,English,Macmillan Caribbean,London,England,(london)_england,Short Stories,n,120,
ugiuseppi,A look at Learie Constantine,1974,English,Nelson Thornes,Cheltenham,England,cheltenham_england,Biography,n,144,
ugiuseppi,Out for Stars: Book 1: An Anthology of Poetry for Caribbean Secondary Schools,1975,English,Macmillan Education,London,England,(london)_england,Anthology,n,96,Co-Author: Neville Giuseppi
ugiuseppi,Caught in the Slips,1976,English,Giuseppi House Publications,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&¬†tobago,Nonfiction Books,n,48,
ugiuseppi,Out for Stars: Book 2: An Anthology of Poetry for Caribbean Secondary Schools,1976,English,Macmillan Education,London,England,(london)_england,Anthology,n,,Co-Author: Neville Giuseppi
ugiuseppi,Nelson’s New West Indian Readers 3,1999,English,Nelson Thornes,Cheltenham,England,cheltenham_england,Anthology,n,160,
ugiuseppi,Act of God,2003,English,Macmillan Caribbean,London,England,(london)_england,Anthology,n,152,
ugiuseppi,I Remember,2005,English,Communications Specialists Limited,Hampshire,England,hampshire_england,Autobiography,n,250,
ugiuseppi,Russell Tesheira,2005,English,Triniprint Limited,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&¬†tobago,Biography,n,32,
