Walter Roberts,wroberts,jamaica,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
wroberts,Pierrot Wounded and Other Poems,1919,English,Library of Congress,"Washington, D.C.",United States,,Poetry Collection,n,110,
wroberts,The Haunting Hand,1926,English,The Macaulay Company,"New York, NY",United States,,Fiction (Novel),n,309,
wroberts,Pan and Peacocks-Poems,1928,English,The Four Seas Company,"Boston, MA",United States,,Poetry Collection,n,80,
wroberts,The Mind Reader,1929,English,The Macaulay Company,"New York, NY",United States,,Fiction (Novel),n,277,
wroberts,The Moralist,1931,English,Mohawk Press,"New York, NY",United States,,Poetry Collection,n,300,
wroberts,The Top Floor Killer,1935,English,Nicholson and Watson,London,England,,Fiction (Novel),n,319,
wroberts,The Book of the Navy,1944,English,Doubleday,"Cooperstown, NY",United States,cooperstown_ny_united¬†states,Nonfiction Book,n,302,
wroberts,"Royal Street, A Novel of Old New Orleans",1944,English,The Bobbs-Merrill Company,"Indianapolis, IN",United States,indianapolis_in_united¬†states,Fiction (Novel),n,324,
wroberts,Lake Pontchartrain,1946,English,The Bobbs-Merrill Company,"Indianapolis, IN",United States,indianapolis_in_united¬†states,Nonfiction Book,n,376,
wroberts,Brave Mardi Gras: A New Orleans Novel of the '60s,1946,English,The Bobbs-Merrill Company,"Indianapolis, IN",United States,indianapolis_in_united¬†states,Fiction (Novel),n,318,
wroberts,Lands of the Inner Sea: The West Indies and Bermuda,1948,English,Coward-McCann,"New York, NY",United States,new_york_ny_united_states,Nonfiction Book,n,301,
wroberts,Creole Dusk: A New Orleans Novel of the '80s,1948,English,The Bobbs-Merrill Company,"Indianapolis, IN",United States,indianapolis_in_united¬†states,Fiction (Novel),n,304,
wroberts,The Single Star: A Novel of Cuba in the '90s,1949,English,The Bobbs-Merrill Company,"Indianapolis, IN",United States,indianapolis_in_united¬†states,Fiction (Novel),n,378,
wroberts,Six Great Jamaicans: Biographical Sketches,1952,English,Pioneer Press,Kingston,Jamaica,,Biography,n,122,
wroberts,Havana: The Portrait of a City,1953,English,"Coward-McCann, Inc.","New York, NY",United States,,Fiction (Novel),n,312,
wroberts,Jamaica: The Portrait of an Island,1955,English,"Coward-McCann, Inc.","New York, NY",United States,,Fiction (Novel),n,247,
wroberts,The Caribbean,1966,English,Negro Universities Press,"New York, NY",United States,new_york_ny_united_states,Nonfiction Book,n,361,
wroberts,The French in the West Indies,1969,English,The Bobbs-Merrill Company,"Indianapolis, IN",United States,indianapolis_in_united¬†states,Nonfiction Book,n,355,
wroberts,The Pomegranate,1978,English,The Bobbs-Merrill Company,"Indianapolis, IN",United States,indianapolis_in_united¬†states,Nonfiction Book,n,313,
wroberts,New Ships: An Anthology of West Indian Verse,1978,,Oxford University Press,Oxford,England,,Fiction (Novel),n,96,
