Wayne Gerard Trotman,wgtrotman,trinidad_&_tobago,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
wgtrotman,Veterans Of The Psychic Wars,2010,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Fiction (Novel),n,424,
wgtrotman,Kaya Abaniah And The Father Of The Forest,2015,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Fiction (Novel),n,416,
wgtrotman,Images of Cuba,2015,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Nonfiction Book,n,162,
wgtrotman,Classic Cars Of Cuba,2015,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Nonfiction Book,n,168,
wgtrotman,Rum & Red Peppers: 80 Caribbean, Armenian, Middle Eastern & Mediterranean Recipes,2016,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Nonfiction Book,n,226,
wgtrotman,A Tiger's Tale,2019,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Poetry Collection,n,30,
wgtrotman,The Last Honey Bee,2019,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Poetry Collection,n,56,
wgtrotman,An Elephant's Advice,2020,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Poetry Collection,n,46,
wgtrotman,A Letter From a Gorilla,2020,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Poetry Collection,n,32,
wgtrotman,Mattie Boombalatty,2020,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Short Story,n,50,
wgtrotman,Song of the Blue Whale,2020,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Poetry Collection,n,34,
wgtrotman,Believe in Fairies,2020,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Poetry Collection,n,32,
wgtrotman,Wayne Gerard Trotman's Rhyming Stories: An Anthology of Seven Illustrated Children's Poems,2021,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Anthology,n,270,
wgtrotman,A Turtle's Adventures,2021,English,Red Moon Productions Ltd,Surrey,England,surrey_england,Anthology,n,38,
