Author,author_id,author_country
Adam Lowe,alowe,england
Adisa Andwele,aandwele,barbados
Adriana Tous,atous,cuba
Aimé Césaire,acésaire,martinique
Alaí Reyes-Santos,arsantos,united_states
Albert Maria Gomes,amgomes,trinidad_&_tobago
Alberto Garrandés,agarrandés,cuba
Alecia McKenzie,amckenzie,jamaica
Alejo Carpentier,acarpentier,cuba
Alexandra Isfahani-Hammond,aisfahanihammond,united_states
Alexia Arthurs,aarthurs,jamaica
Alfonso Hernández Catá,ahcata,spain
Alfred Alexandre,aalexandre,martinique
Alfred Hubert Mendes,ahmendes,trinidad_&_tobago
Alicia Ikida Harraway,aiharraway,united_states
Alick Lazare,alazare,dominica
Althea Prince,aprince,antigua_&_barbuda
Alvin Cummins,acummins,barbados
Amy Wilentz,awilentz,united_states
Anaïs Ségalas,aségalas,france
André Paradis,aparadis,france
Andrea Levy,alevy,england
Andrea Stuart,astuart,jamaica
Andrew Salkey,asalkey,jamaica
Ángel Augier,aaugier,cuba
Angèle Rawiri,arawiri,gabon
Anisah Sankar,asankar,trinidad_&_tobago
Anthony C. Winkler,acwinkler,jamaica
Anthony Kellman,akellman,barbados
Anthony Nash,anash,trinidad_&_tobago
Antonio Benítez-Rojo,abenitezrogo,cuba
Antonio Moreno,amoreno,spain
Arlette Minatchy-Bogat,aminatchybogat,guadeloupe
Arthur Lemiere Hendriks,alhendriks,jamaica
Asha Bromfield,abromfield,canada
Audre Lorde,alorde,united_states
Austin Clarke,aclarke,barbados
Baptiste Paul,bpaul,france
Barbara Applin,bapplin,united_states
Barbara Hambly,bhambley,united_states
Barbara Jenkins,bjenkins,trinidad_&_tobago
Barbara Lalla,blalla,jamaica
Ben Philippe,bphilippe,haiti
Bernard Montabo,bmontabo,guyana
Beryl Gilroy,bgilroy,guyana
Bonifacio Byrne,bbyrne,cuba
Brenda Alexander-Perez,baperez,trinidad_&_tobago
Bukka Rennie,brennie,trinidad_&_tobago
C. L. R. James,clrjames,trinidad_&_tobago
Callie Browning,cbrowning,barbados
Captain Anthony Parsons,caparsons,england
