Author,author_id,author_country
Leonardo Padura Fuentes,lpfuentes,cuba
Walter Roberts,wroberts,jamaica
Velma Pollard,vpollard,jamaica
V.S. Naipaul,vsnaipaul,trinidad_&_tobago
Una Marson,umarson,jamaica
Simone Schwarz-Bart,ssbart,guadeloupe
Samuel Selvon,sselvon,trinidad_&_tobago
Roger Mais,rmais,jamaica
Frankétienne,franketienne,haiti
Erna Brodber,ebodber,jamaica
Phyllis Shand Allfrey,psallfrey,dominica
Paule Marshall,pmarshall,barbados
Patrick Chamoiseau,pchamoiseau,martinique
Pamela Mordecai,pmordecai,jamaica
Opal Palmer Adisa,opalmeradisa,jamaica
Oonya Kempadoo,okempadoo,guyana
Olive Senior,osenior,jamaica
Nicolás Guillén,ngullien,cuba
Myriam J. A Chancy,mjachancy,haiti
Michelle Cliff,mcliff,jamaica
Marie Vieux-Chauvet,mvchauvet,haiti
Frank A. Collymore,facollymore,barbados
Kei Miller,kmiller,jamaica
Lisa Allen-Agostini,laagostini,trinidad_&_tobago
Jose Martí,jmartí,cuba
Jean Casimir,jcasimir,haiti
Jean Bernabé,jbernabe,martinique
Karen Lord,klord,barbados
Louise Bennett,lbennet,jamaica
Jan J Dominique,jjdominique,haiti
Lawrence Scott,lscott,trinidad_&_tobago
Évelyne Trouillot,etrouillot,haiti
Andrew Salkey,asalkey,jamaica
Zee Edgell,zedgell,belize
Arlette Minatchy-Bogat,aminatchybogat,guadeloupe
Bernard Montabo,bmontabo,guyana
Callie Browning,cbrowning,barbados
Cecil Browne,cbrowne,st._vincent_&_the_grenadines
Cherie Jones,cjones,barbados
Constance Marshall,cmarshall,united¬†states
Edouard Mokwe,emokwe,united_states
Eulah Borde,eborde,trinidad_&_tobago
Francesca Momplaisir,fmomplaisir,haiti
Gérard Bulin,gbulin,france
Helen Klonaris,hklonaris,the_bahamas
Isabel Abellán Chuecos,iachuecos,spain
J.W. Boddam-Whetham,jwboddamwhetham,australia
Jean Bernabé,jbernabé,martinique
Jean Breeze,jbreeze,jamaica
John W. Boddam-Whetham,jwboddamwhetham,australia
Llewellyn Emery,lemery,spain
Louison Cazal,lcazal,martinique
Maisy Card,mcard,jamaica
Marcela Breton,mbreton,united_states
Margaret Busby,mbusby,ghana
Marilyn Bobes León,mbleón,cuba
Mark McWatt,mmcwatt,guyana
Matthew James Chapman,mjchapman,barbados
Michelle Paula Barton-Romeo,mpbartonromeo,trinidad_&_tobago
Miguel de Carrión,mdcarrión,cuba
Miguel de Cervantes Saavedra,mdcervantessaavedra,spain
N. C. Marks,ncmarks,st._vincent
Norman Eustace Cameron,necameron,guyana
Philip Brenner,pbrenner,cuba
Queen Macoomeh,qmacoomeh,trinidad_&_tobago
Richardo Keens-Douglas,rkdouglas,grenada
Rueben Martínez,rmartínez,united_states
Shiva Shridath Maharajh,ssmaharajh,trinidad_&_tobago
Stewart Brown,sbrown,england
Tami Charles,tcharles,united_states
Trevor Chadee,tchadee,trinidad_&_tobago
Véronique Maisier,vmaisier,canada
Adisa Andwele,aandwele,barbados
Adriana Tous,atous,cuba
Alecia McKenzie,amckenzie,jamaica
Alexia Arthurs,aarthurs,jamaica
Alfred Alexandre,aalexandre,martinique
Alfred Hubert Mendes,ahmendes,trinidad_&_tobago
Alvin Cummins,acummins,barbados
Amelia Bleeker,ableeker,united_states
Andrea Stuart,astuart,jamaica
Ángel Augier,aaugier,cuba
Anisah Sankar,asankar,trinidad_&_tobago
Anthony Kellman,akellman,barbados
Antonio Benítez-Rojo,abenitezrogo,cuba
Asha Bromfield,abromfield,jamaica
Augustus C. Sinclair,acsinclair,jamaica
Barbara Applin,bapplin,united_states
Barbara Lalla,blalla,jamaica
Bernard Magnier,bmagnier,france
Blas Matamoro,bmatamoro,argentina
Bonifacio Byrne,bbyrne,cuba
Brenda Alexander-Perez,baperez,trinidad_&_tobago
Everard C. Palmer,ecpalmer,jamaica
Carlos Moore,cmoore,cuba
Carlos Uxo,cuxo,cuba
Caryl Phillips,cphillips,st._kitts_&_nevis
Cecilia Bustamante,cbustamante,peru
Celeste Mohammed,cmohammed,trinidad_&_tobago
Chiara Bettelli Lelio,cblelio,italy
Ciannon Smart,csmart,england
Cirilo Villaverde,cvillaverde,cuba
Claribel Terré Morell,ctmorell,cuba
Claude Thompson,cthompson,jamaica
Clément Magloire-Saint-Aude,cmagloiresaintaude,haiti
Clement Maharaj,cmaharaj,trinidad_&_tobago
Cola Debrot,cdebrot,bonaire
Cynric R. Williams,crwilliams,jamaica
Cyril Dabydeen,cdabydeen,guyana
Cyril V Briggs,cvbriggs,st._kitts_&_nevis
Jacques Roumain,jroumain,haiti
Daniel MacKinnen,dmackinnen,england
Dany Laferrière,dlaferrière,haiti
Dean R Baldwin,drbadwin,united_states
Dennis Scott,dscott,jamaica
Derek Walcott,dwalcott,st.lucia
Derry Sandy,dsandy,trinidad_&_tobago
Dimitry Elias Léger,deleger,cuba
Dionne Brand,dbrand,trinidad_&_tobago
Donna Every,devery,barbados
Eddie Vega,evega,cuba
Eden Phillpotts,ephillpotts,india
Edgar Austin Mittelholzer,eamittelholzer,guyana
Edison T Williams,etwilliams,barbados
Edith Clarke,eclarke,jamaica
Edmond Lapompe-Paironne,elpaironne,martinique
Edris Saint-Amand,esamand,haiti
Edward Baugh,ebaugh,jamaica
Edward Kamau Brathwaite,ekbrathwaite,barbados
Eintou Pearl Springer,epspringer,trinidad_&_tobago
Elizabeth Acevedo,eacevedo,dominican_republic
Elizabeth Walcott-Hackshaw,ewalcotthackshaw,trinidad_&_tobago
Elsie Augustave,eaugustave,haiti
Emilio Bobadilla,ebobadilla,cuba
Emily A Colin,eacolin,united_states
Eric Eustace Williams,eewilliams,trinidad_&_tobago
Errol Benjamin,ebenjamin,trinidad_&_tobago
Esi Edugyan,eedugyan,ghana
Evan Jones,ejones,jamaica
Fabio Fiallo,ffiallo,dominican_republic
Francie Latour,flatour,united_states
Francis Carco,fcarco,new_caledonia
Frank Birbalsingh,fbirbalsingh,Guyana
Frantz Wainwright,fwainwright,haiti
Fred D'Aguiar,fdaguiar,guyana
Frédéric Marcelin,fmarcelin,haiti
Geoffrey Drayton,gdayton,barbados
George Campbell,gcampbell,jamaica
George E Lawrence,gelawrence,united_states
Georges Mauvois,gmauvois,martinique
Georges Sylvain,gsylvain,haiti
Gina Picart,gpicart,cuba
Giselle Liza Anatol,glanatol,trinidad_&_tobago
